block,sqrtPriceX96,tick,price
23695484,,199781,2108.73
23697484,,199901,2083.69
23699484,,199882,2087.54
23701484,,199911,2081.64
23703484,,199906,2082.53
23705484,,200164,2029.47
23707484,,200138,2034.93
23709484,,200229,2016.33
23711484,,200196,2023.05
23713484,,200179,2026.43
23715484,,200250,2012.16
23717484,,200266,2008.93
23719484,,200261,2009.95
23721484,,200266,2009.03
23723484,,200125,2037.59
23725484,,200106,2041.46
23727484,,200115,2039.60
23729484,,200127,2037.17
23731484,,200091,2044.36
23733484,,200219,2018.40
23735484,,200079,2046.85
23737484,,200060,2050.85
23739484,,200063,2050.07
23741484,,200122,2038.10
23743484,,199980,2067.32
23745484,,199968,2069.79
23747484,,199818,2100.95
23749484,,199861,2091.91
23751484,,199880,2088.05
23753484,,199858,2092.60
23755484,,199835,2097.46
23757484,,199811,2102.37
23759484,,199824,2099.67
23761484,,199873,2089.47
23763484,,199909,2081.99
23765484,,199871,2089.93
23767484,,199925,2078.68
23769484,,199919,2079.96
23771484,,199895,2084.80
23773484,,199863,2091.54
23775484,,199884,2087.08
23777484,,199902,2083.48
23779484,,199898,2084.17
23781484,,199966,2070.13
23783484,,199932,2077.14
23785484,,199893,2085.24
23787484,,199903,2083.24
23789484,,199893,2085.40
23791484,,199929,2077.83
23793484,,199928,2078.12
23795484,,199926,2078.51
23797484,,199793,2106.26
23799484,,199797,2105.36
23801484,,199838,2096.79
23803484,,199888,2086.31
23805484,,199848,2094.77
23807484,,199763,2112.62
23809484,,199702,2125.54
23811484,,199662,2134.05
23813484,,199717,2122.30
23815484,,199740,2117.52
23817484,,199730,2119.55
23819484,,199723,2121.07
23821484,,199741,2117.23
23823484,,199785,2107.91
23825484,,199770,2111.05
23827484,,199884,2087.24
23829484,,199875,2088.98
23831484,,199848,2094.64
23833484,,199758,2113.71
23835484,,199765,2112.19
23837484,,199716,2122.63
23839484,,199738,2117.84
23841484,,199814,2101.82
23843484,,199785,2108.05
23845484,,199851,2094.06
23847484,,199850,2094.35
23849484,,199716,2122.55
23851484,,199872,2089.63
23853484,,199889,2086.04
23855484,,199903,2083.26
23857484,,199835,2097.48
23859484,,199968,2069.70
23861484,,199942,2075.21
23863484,,199902,2083.40
23865484,,199864,2091.39
23867484,,199860,2092.19
23869484,,199879,2088.32
23871484,,199892,2085.58
23873484,,199867,2090.73
23875484,,199947,2074.05
23877484,,199909,2081.99
23879484,,199936,2076.38
23881484,,199982,2066.91
23883484,,200078,2047.01
23885484,,200052,2052.50
23887484,,200114,2039.63
23889484,,200159,2030.64
23891484,,200210,2020.21
23893484,,200172,2027.87
23895484,,200183,2025.60
23897484,,200153,2031.77
23899484,,200154,2031.54
23901484,,200123,2037.92
23903484,,200254,2011.43
23905484,,200125,2037.57
23907484,,200064,2049.96
23909484,,200036,2055.62
23911484,,200036,2055.79
23913484,,199856,2093.04
23915484,,199883,2087.35
23917484,,199652,2136.22
23919484,,199692,2127.61
23921484,,199714,2122.97
23923484,,199686,2128.96
23925484,,199720,2121.77
23927484,,199695,2126.97
23929484,,199750,2115.42
23931484,,199722,2121.33
23933484,,199743,2116.77
23935484,,199739,2117.60
23937484,,199778,2109.34
23939484,,199799,2105.10
23941484,,199831,2098.29
23943484,,199777,2109.61
23945484,,199751,2115.20
23947484,,199757,2113.82
23949484,,199801,2104.64
23951484,,200036,2055.60
23953484,,199986,2066.10
23955484,,199969,2069.59
23957484,,199979,2067.42
23959484,,200040,2054.88
23961484,,200061,2050.59
23963484,,200310,2000.12
23965484,,200246,2013.08
23967484,,200272,2007.71
23969484,,200263,2009.47
23971484,,200174,2027.62
23973484,,200212,2019.74
23975484,,200237,2014.77
23977484,,200242,2013.84
23979484,,200249,2012.38
23981484,,200266,2008.99
23983484,,200240,2014.09
23985484,,200272,2007.77
23987484,,200254,2011.46
23989484,,200235,2015.20
23991484,,200259,2010.37
23993484,,200212,2019.88
23995484,,200195,2023.31
23997484,,200156,2031.10
23999484,,200171,2028.09
24001484,,200154,2031.59
24003484,,200133,2035.90
24005484,,200254,2011.46
24007484,,200285,2005.07
24009484,,200199,2022.41
24011484,,200265,2009.19
24013484,,200253,2011.64
24015484,,200250,2012.23
24017484,,200270,2008.12
24019484,,200257,2010.81
24021484,,200234,2015.45
24023484,,200247,2012.88
24025484,,200206,2021.09
24027484,,200189,2024.45
24029484,,200196,2023.17
24031484,,200183,2025.61
24033484,,200179,2026.52
24035484,,200229,2016.39
24037484,,200284,2005.45
24039484,,200256,2010.89
24041484,,200390,1984.16
24043484,,200438,1974.69
24045484,,200427,1976.94
24047484,,200489,1964.67
24049484,,200553,1952.21
24051484,,200576,1947.57
24053484,,200543,1954.11
24055484,,200569,1949.01
24057484,,200570,1948.86
24059484,,200555,1951.73
24061484,,200618,1939.49
24063484,,200655,1932.35
24065484,,200601,1942.74
24067484,,200573,1948.19
24069484,,200513,1959.90
24071484,,200560,1950.76
24073484,,200571,1948.58
24075484,,200524,1957.78
24077484,,200369,1988.28
24079484,,200626,1937.95
24081484,,200683,1926.99
24083484,,200592,1944.50
24085484,,200721,1919.68
24087484,,200709,1921.96
24089484,,200623,1938.50
24091484,,200628,1937.48
24093484,,200599,1943.14
24095484,,200613,1940.52
24097484,,200555,1951.74
24099484,,200585,1945.80
24101484,,200534,1955.87
24103484,,200433,1975.66
24105484,,200503,1961.81
24107484,,200524,1957.83
24109484,,200638,1935.66
24111484,,200611,1940.90
24113484,,200555,1951.82
24115484,,200496,1963.30
24117484,,200434,1975.58
24119484,,200488,1964.83
24121484,,200478,1966.76
24123484,,200500,1962.43
24125484,,200483,1965.83
24127484,,200485,1965.45
24129484,,200477,1967.09
24131484,,200499,1962.77
24133484,,200475,1967.45
24135484,,200431,1976.05
24137484,,200468,1968.71
24139484,,200457,1970.95
24141484,,200483,1965.82
24143484,,200502,1962.15
24145484,,200458,1970.74
24147484,,200411,1979.98
24149484,,200401,1982.04
24151484,,200347,1992.74
24153484,,200337,1994.76
24155484,,200387,1984.85
24157484,,200399,1982.46
24159484,,200381,1986.02
24161484,,200369,1988.40
24163484,,200392,1983.81
24165484,,200403,1981.56
24167484,,200436,1975.15
24169484,,200577,1947.44
24171484,,200728,1918.24
24173484,,200757,1912.72
24175484,,200717,1920.38
24177484,,200756,1912.99
24179484,,200715,1920.69
24181484,,200643,1934.67
24183484,,200674,1928.60
24185484,,200728,1918.28
24187484,,200721,1919.56
24189484,,200695,1924.51
24191484,,200705,1922.73
24193484,,200646,1934.09
24195484,,200596,1943.76
24197484,,200585,1945.98
24199484,,200627,1937.65
24201484,,200647,1933.95
24203484,,200601,1942.71
24205484,,200594,1944.10
24207484,,200590,1944.88
24209484,,200585,1945.84
