block,timestamp,amount0,amount1,total_supply,price,tick
19208958,1765951769,0.01500134,1300.000047,1000000000,86658.900000,67649
19210958,1765953769,0.01489653,1309.094434,1000000000,86689.930000,67652
19212958,1765955769,0.01512877,1288.978159,1000000000,86621.200000,67644
19214958,1765957769,0.01420667,1368.995103,1000000000,86894.570000,67676
19216958,1765959769,0.01513898,1288.122370,1000000000,86618.180000,67644
19218958,1765961769,0.01615015,1200.700597,1000000000,86319.900000,67609
19220958,1765963769,0.01633686,1184.599401,1000000000,86264.990000,67603
19222958,1765965769,0.01646686,1173.390539,1000000000,86226.790000,67599
19224958,1765967769,0.01495310,1304.287441,1000000000,86673.180000,67650
19226958,1765969769,0.01544244,1261.915221,1000000000,86528.500000,67633
19228958,1765971769,0.01463367,1332.003240,1000000000,86767.820000,67661
19230958,1765973769,0.01387794,1397.679594,1000000000,86992.340000,67687
19232958,1765975769,0.01460635,1334.401705,1000000000,86775.920000,67662
19234958,1765977769,0.01416306,1372.923969,1000000000,86907.530000,67677
19236958,1765979769,0.01262645,1506.879721,1000000000,87366.070000,67730
19238958,1765981769,0.01194039,1566.916622,1000000000,87571.970000,67753
19240958,1765983769,0.00725076,1981.080537,1000000000,88999.110000,67915
19242958,1765985769,0.00651315,2046.925552,1000000000,89226.750000,67941
19244958,1765987769,0.01249671,1518.766161,1000000000,87404.950000,67734
19246958,1765989769,0.01634159,1185.058325,1000000000,86263.600000,67603
19248958,1765991769,0.01502044,1299.359629,1000000000,86653.250000,67648
19250958,1765993769,0.01634292,1185.051221,1000000000,86263.210000,67603
19252958,1765995769,0.01558568,1250.496807,1000000000,86486.220000,67629
19254958,1765997769,0.01805899,1037.523086,1000000000,85761.000000,67544
19256958,1765999769,0.01833313,1014.051799,1000000000,85681.180000,67535
19258958,1766001769,0.01750416,1085.218810,1000000000,85922.890000,67563
19260958,1766003769,0.01766018,1071.851748,1000000000,85877.320000,67558
19262958,1766005769,0.01776663,1062.730483,1000000000,85846.250000,67554
19264958,1766007769,0.01808652,1035.291913,1000000000,85752.980000,67543
19266958,1766009769,0.01733196,1100.089289,1000000000,85973.230000,67569
19268958,1766011769,0.01705573,1123.869038,1000000000,86054.070000,67578
19270958,1766013769,0.01727756,1104.796214,1000000000,85989.140000,67571
19272958,1766015769,0.01727763,1104.794842,1000000000,85989.120000,67571
19274958,1766017769,0.01686649,1140.187192,1000000000,86109.520000,67585
19276958,1766019769,0.01686649,1140.187192,1000000000,86109.520000,67585
19278958,1766021769,0.01747911,1087.505260,1000000000,85930.210000,67564
19280958,1766023769,0.01686212,1140.590423,1000000000,86110.800000,67585
19282958,1766025769,0.01547072,1260.733270,1000000000,86520.150000,67633
19284958,1766027769,0.01571216,1239.858150,1000000000,86448.910000,67624
19286958,1766029769,0.01604175,1211.402079,1000000000,86351.800000,67613
19288958,1766031769,0.01518582,1285.435837,1000000000,86604.330000,67642
19290958,1766033769,0.01499415,1302.042605,1000000000,86661.030000,67649
19292958,1766035769,0.01548370,1259.658774,1000000000,86516.320000,67632
19294958,1766037769,0.01596904,1217.713217,1000000000,86373.210000,67616
19296958,1766039769,0.01590457,1223.283207,1000000000,86392.200000,67618
19298958,1766041769,0.01529661,1275.867579,1000000000,86571.580000,67638
19300958,1766043769,0.01504385,1297.761051,1000000000,86646.320000,67647
19302958,1766045769,0.01504162,1297.958766,1000000000,86646.980000,67647
19304958,1766047769,0.01415667,1374.764657,1000000000,86909.430000,67677
19306958,1766049769,0.01460949,1335.446327,1000000000,86774.990000,67662
19308958,1766051769,0.01349460,1432.387324,1000000000,87106.560000,67700
19310958,1766053769,0.01326035,1452.803277,1000000000,87176.470000,67708
19312958,1766055769,0.01338557,1441.890898,1000000000,87139.090000,67704
19314958,1766057769,0.01352518,1429.734859,1000000000,87097.440000,67699
19316958,1766059769,0.01338285,1442.136174,1000000000,87139.900000,67704
19318958,1766061769,0.01321387,1456.880223,1000000000,87190.350000,67710
19320958,1766063769,0.01161108,1597.050163,1000000000,87671.060000,67765
19322958,1766065769,0.00827866,1890.999220,1000000000,88683.330000,67879
19324958,1766067769,0.00909654,1818.666717,1000000000,88433.270000,67851
19326958,1766069769,0.00959969,1774.424243,1000000000,88279.960000,67834
19328958,1766071769,0.00927575,1803.144514,1000000000,88378.620000,67845
19330958,1766073769,0.00983269,1754.053015,1000000000,88209.100000,67826
19332958,1766075769,0.01062630,1684.193217,1000000000,87968.390000,67799
19334958,1766077769,0.01476841,1322.491630,1000000000,86727.880000,67656
19336958,1766079769,0.01604284,1212.391000,1000000000,86351.480000,67613
19338958,1766081769,0.01552584,1257.140791,1000000000,86503.880000,67631
19340958,1766083769,0.01647609,1175.120339,1000000000,86224.080000,67598
19342958,1766085769,0.01854995,996.994643,1000000000,85618.130000,67528
19344958,1766087769,0.02096414,791.211698,1000000000,84920.750000,67446
19346958,1766089769,0.02081909,803.602703,1000000000,84962.410000,67451
19348958,1766091769,0.02017998,858.009907,1000000000,85146.330000,67472
19350958,1766093769,0.01838284,1011.537403,1000000000,85666.720000,67533
19352958,1766095769,0.01872884,981.958637,1000000000,85566.160000,67522
19354958,1766097769,0.01890110,967.257479,1000000000,85516.160000,67516
19356958,1766099769,0.01888394,968.749284,1000000000,85521.140000,67516
19358958,1766101769,0.01937240,927.021924,1000000000,85379.590000,67500
19360958,1766103769,0.01900422,958.486557,1000000000,85486.250000,67512
19362958,1766105769,0.01892947,964.887597,1000000000,85507.930000,67515
19364958,1766107769,0.01942326,922.714473,1000000000,85364.870000,67498
19366958,1766109769,0.01955557,911.437061,1000000000,85326.600000,67494
19368958,1766111769,0.01905686,954.036414,1000000000,85470.990000,67510
19370958,1766113769,0.01644058,1178.710588,1000000000,86234.510000,67599
19372958,1766115769,0.01369091,1417.068380,1000000000,87048.040000,67693
19374958,1766117769,0.01316590,1462.866860,1000000000,87204.680000,67711
19376958,1766119769,0.01392901,1396.415486,1000000000,86977.140000,67685
19378958,1766121769,0.01449258,1347.454636,1000000000,86809.670000,67666
19380958,1766123769,0.01366822,1419.132309,1000000000,87054.800000,67694
19382958,1766125769,0.01410527,1381.122104,1000000000,86924.710000,67679
19384958,1766127769,0.01208789,1557.114971,1000000000,87527.640000,67748
