block,timestamp,amount0,amount1,total_supply,price,tick
23695484,1770438295,1067.22788454,0.505992,1000000000,0.000474,199781
23697484,1770440295,971.95158702,0.551515,1000000000,0.000480,199901
23699484,1770442295,986.79720011,0.544462,1000000000,0.000479,199882
23701484,1770444295,964.36492536,0.555278,1000000000,0.000480,199911
23703484,1770446295,967.92369084,0.553643,1000000000,0.000480,199906
23705484,1770448295,764.17002547,0.652958,1000000000,0.000493,200164
23707484,1770450295,785.92415717,0.642559,1000000000,0.000491,200138
23709484,1770452295,714.07709096,0.678157,1000000000,0.000496,200229
23711484,1770454295,740.32639423,0.665239,1000000000,0.000494,200196
23713484,1770456295,753.52242938,0.658766,1000000000,0.000493,200179
23715484,1770458295,698.27265906,0.686205,1000000000,0.000497,200250
23717484,1770460295,685.81902182,0.692456,1000000000,0.000498,200266
23719484,1770462295,689.89737660,0.690480,1000000000,0.000498,200261
23721484,1770464295,686.39970022,0.692262,1000000000,0.000498,200266
23723484,1770466295,797.42688713,0.637509,1000000000,0.000491,200125
23725484,1770468295,812.79998454,0.630178,1000000000,0.000490,200106
23727484,1770470295,805.76739940,0.633698,1000000000,0.000490,200115
23729484,1770472295,796.50518709,0.638305,1000000000,0.000491,200127
23731484,1770474295,824.36554837,0.624698,1000000000,0.000489,200091
23733484,1770476295,724.10021126,0.674171,1000000000,0.000495,200219
23735484,1770478295,834.44464442,0.620002,1000000000,0.000489,200079
23737484,1770480295,850.06044506,0.612477,1000000000,0.000488,200060
23739484,1770482295,852.07275368,0.613943,1000000000,0.000488,200063
23741484,1770484295,806.00885886,0.636541,1000000000,0.000491,200122
23743484,1770486295,918.63612676,0.581721,1000000000,0.000484,199980
23745484,1770488295,928.18404539,0.577141,1000000000,0.000483,199968
23747484,1770490295,1047.39221040,0.520049,1000000000,0.000476,199818
23749484,1770492295,1013.01111694,0.536480,1000000000,0.000478,199861
23751484,1770494295,998.32708405,0.543529,1000000000,0.000479,199880
23753484,1770496295,1015.74373434,0.535223,1000000000,0.000478,199858
23755484,1770498295,1034.34152451,0.526380,1000000000,0.000477,199835
23757484,1770500295,1053.06212459,0.517477,1000000000,0.000476,199811
23759484,1770502295,1042.80780877,0.522369,1000000000,0.000476,199824
23761484,1770504295,1003.97288732,0.540934,1000000000,0.000479,199873
23763484,1770506295,975.44445492,0.554635,1000000000,0.000480,199909
23765484,1770508295,1005.83525086,0.540094,1000000000,0.000478,199871
23767484,1770510295,962.89571632,0.560721,1000000000,0.000481,199925
23769484,1770512295,967.86374747,0.558366,1000000000,0.000481,199919
23771484,1770514295,986.40852451,0.549479,1000000000,0.000480,199895
23773484,1770516295,1012.19626746,0.537155,1000000000,0.000478,199863
23775484,1770518295,995.24513509,0.545304,1000000000,0.000479,199884
23777484,1770520295,981.55958739,0.551900,1000000000,0.000480,199902
23779484,1770522295,984.23881833,0.550634,1000000000,0.000480,199898
23781484,1770524295,930.55385614,0.576511,1000000000,0.000483,199966
23783484,1770526295,957.45541429,0.563558,1000000000,0.000481,199932
23785484,1770528295,988.48153309,0.548673,1000000000,0.000480,199893
23787484,1770530295,980.86318294,0.552340,1000000000,0.000480,199903
23789484,1770532295,989.15226041,0.548380,1000000000,0.000480,199893
23791484,1770534295,960.24127733,0.562287,1000000000,0.000481,199929
23793484,1770536295,961.42593801,0.561752,1000000000,0.000481,199928
23795484,1770538295,962.96536327,0.561034,1000000000,0.000481,199926
23797484,1770540295,1068.94026413,0.510446,1000000000,0.000475,199793
23799484,1770542295,1065.57125682,0.512071,1000000000,0.000475,199797
23801484,1770544295,1033.02316086,0.527597,1000000000,0.000477,199838
23803484,1770546295,993.12514848,0.546713,1000000000,0.000479,199888
23805484,1770548295,1025.45305607,0.531270,1000000000,0.000477,199848
23807484,1770550295,1093.41671811,0.498992,1000000000,0.000473,199763
23809484,1770552295,1142.45223538,0.475883,1000000000,0.000470,199702
23811484,1770554295,1174.65702037,0.460777,1000000000,0.000469,199662
23813484,1770556295,1130.30276119,0.481659,1000000000,0.000471,199717
23815484,1770558295,1112.23778758,0.490203,1000000000,0.000472,199740
23817484,1770560295,1119.98900783,0.486571,1000000000,0.000472,199730
23819484,1770562295,1125.79088670,0.483855,1000000000,0.000471,199723
23821484,1770564295,1111.29639356,0.490723,1000000000,0.000472,199741
23823484,1770566295,1076.01952843,0.507470,1000000000,0.000474,199785
23825484,1770568295,1088.00102817,0.501815,1000000000,0.000474,199770
23827484,1770570295,997.46510571,0.545011,1000000000,0.000479,199884
23829484,1770572295,1004.17049645,0.541829,1000000000,0.000479,199875
23831484,1770574295,1025.79021514,0.531507,1000000000,0.000477,199848
23833484,1770576295,1098.40887424,0.497035,1000000000,0.000473,199758
