vault,event_type,block,tx_hash,tick_lower,tick_upper,amount0,amount1
steer-competitor-usdc-eth,Burn,17007432,0xe89361fb9e25b1f04090e90da72c9cb109cc8130e96445778e0a1575db956b18,194720,198780,450.71010700,0.214774542379654515
steer-competitor-usdc-eth,Burn,17139129,0x086a5564d0defc680b23da6b1ed75e548dae64151e948b3fbf997cc3b36bdeee,194720,198780,9590.83536000,4.149889793689321316
steer-competitor-usdc-eth,Burn,17244121,0x4ce288bfb04405ac4ce3da0dded6bfbb8a3294a0ea6bc8709d2a63f007e9ca7b,194720,198790,0.00000000,0.000000000000000000
steer-competitor-usdc-eth,Burn,17309253,0xa8d2feb309f84fc4180ae3e1beb95c872067eff7d46f4f5766579767e6be67ef,194720,198790,11939.69061900,3.351170894921513987
steer-competitor-usdc-eth,Burn,17486357,0x0526f08cd2d443ea345fd14e8af0bcb15531b93248114da2e3eaa0c6715ad9d8,194300,198360,12213.56161800,3.430522409534501271
steer-competitor-usdc-eth,Burn,17660805,0xa64706ebc2fd8b06967ee05ce78e8c8fef921c0f3c4ffbc08a1ff4b11188bb48,193920,197980,9754.91227900,4.248629610804735890
steer-competitor-usdc-eth,Burn,17837198,0x0d6dec926da39cd6df1e8004f74e94106a368da137bdbef7b9908f9e61c647e1,194010,198070,6976.70475300,5.212368068036933977
steer-competitor-usdc-eth,Burn,18043669,0x6a80d9199d13140d76aa24515075c51efde683894a1cc1487028ec941dcad9be,194560,198630,15407.37581800,2.342286837859044457
steer-competitor-usdc-eth,Burn,18101720,0x5c2f17deb6ad31cd6bad3a88001cfe199511874f370cedd0effbf23750292a0e,193610,197670,0.00000000,0.000000000000000000
steer-competitor-usdc-eth,Burn,18117982,0x8a7e70656156d4d1d31ed0931e6b36668f061d445d66063c8146d35dd740dc2f,193610,197670,478.67002600,0.163523278791496196
steer-competitor-usdc-eth,Burn,18173510,0x6ef63f572a606821fa1ff6008a120905aeb6a31dac77783d42c3e1d1f2b99d20,193610,197670,10496.74098100,3.598252236348510547
