block,timestamp,amount0,amount1,total_supply,price,tick
17000322,1763743133,263013.382102,178.691219775199442665,148100843662896735375,0.00036578846622054375,197185
17010322,0,315970.769768,159.481081632907375933,148100843662896735375,0.00035973099675021606,197018
17020322,0,298078.678764,165.935552946228455085,148100843662896735375,0.0003617606221407954,197074
17030322,0,298972.119211,165.612386834387621093,148100843662896735375,0.0003616588659336709,197071
17040322,0,278575.078565,173.012920613974500839,148100843662896735375,0.00036399268155956854,197136
17050322,0,284817.788543,170.742857983099810326,148100843662896735375,0.000363276001655465,197116
17060322,0,259471.155748,179.987652373876670708,148100843662896735375,0.0003661990878015144,197196
17070322,0,258754.129757,180.250256465216494917,148100843662896735375,0.00036628229095336096,197199
17080322,0,274740.817263,174.409409316367913334,148100843662896735375,0.0003644339169116916,197148
17090322,0,282297.187491,172.215365752456762038,148100843662896735375,0.00036375264207954763,197129
17100322,0,283598.236127,171.742452232272881929,148100843662896735375,0.0003633190773937292,197117
17110322,0,306743.047703,163.373464152732168486,148100843662896735375,0.0003598739384828258,197022
17120322,0,329691.130458,155.153779210329560101,148100843662896735375,0.00035650623644363196,196928
17130322,0,343395.597021,150.281697344852318565,148100843662896735375,0.0003545175600013733,196872
17140322,0,308668.562206,162.680795532761749200,148100843662896735375,0.0003595895331156575,197014
17150322,1763893133,328676.979609,155.515405265533303236,148100843662896735375,0.00035665406597513625,196932
17160322,0,355543.530697,145.985677591229659811,148100843662896735375,0.00035276863399029456,196823
17170322,0,352221.455841,147.158393427633512829,148100843662896735375,0.00035324562194182966,196836
17180322,0,341438.703709,151.166250928320835101,148100843662896735375,0.0003561840874520308,196919
17190322,0,350512.970633,147.948892711314130111,148100843662896735375,0.0003531932614605038,196835
17200322,0,332163.530740,154.485909035788296251,148100843662896735375,0.00035964014788879246,197015
17210322,0,352391.025551,147.285966225406582453,148100843662896735375,0.0003527782139823132,196823
17220322,0,372214.152919,140.425425772619803411,148100525550953255131,0.000348469155912342,196700
17230322,0,347854.912309,148.978685756381651117,148100525550953255131,0.0003538689897327869,196854
17240322,0,338764.214983,152.210809857347925345,148100525550953255131,0.00035722278554144025,196948
17250322,0,341636.069293,151.186447941367589465,148100525550953255131,0.0003561581498485805,196918
17260322,0,368194.541868,141.827889649342012035,148100525550953255131,0.0003493421280371842,196725
17270322,0,426458.124083,121.836698068334854383,148100525550953255131,0.00033700165620766814,196365
