pool,block_start,block_end,num_swaps,vol_token0,vol_token1
WBTC-USDC,17590322,17600321,164,2.72254963,250042.03969500
WBTC-USDC,17600322,17610321,156,3.19770675,291001.56324500
WBTC-USDC,17610322,17620321,38,1.00135162,90817.78910100
WBTC-USDC,17620322,17630321,30,0.38152033,34628.30944500
WBTC-USDC,17630322,17640321,9,0.24193477,21955.58740400
WBTC-USDC,17640322,17650321,27,0.48829170,44226.00500700
WBTC-USDC,17650322,17660321,85,0.93225682,84301.71781800
WBTC-USDC,17660322,17670321,62,0.41586180,37611.54771600
WBTC-USDC,17670322,17680321,35,0.39037309,35344.50325400
WBTC-USDC,17680322,17690321,54,0.64072216,58106.76611300
WBTC-USDC,17690322,17700321,113,1.28315098,116006.38560100
WBTC-USDC,17700322,17710321,42,0.59768997,54134.69318100
WBTC-USDC,17710322,17720321,22,0.26694520,24208.68530700
WBTC-USDC,17720322,17730321,66,0.49921271,45248.52064800
WBTC-USDC,17730322,17740321,37,0.35099428,31807.63245600
WBTC-USDC,17740322,17750321,72,0.68308379,62093.60032800
WBTC-USDC,17750322,17760321,46,0.27948692,25460.48727800
WBTC-USDC,17760322,17770321,63,0.70167778,64041.11159000
WBTC-USDC,17770322,17780321,232,9.18139179,823116.30750500
WBTC-USDC,17780322,17790321,39,0.30369005,27614.88303000
WBTC-USDC,17790322,17800321,57,0.45932551,41743.14432700
WBTC-USDC,17800322,17810321,629,7.38722600,652860.35213000
WBTC-USDC,17810322,17820321,434,4.31793962,374312.85704100
WBTC-USDC,17820322,17830321,166,1.77578055,152731.72964200
WBTC-USDC,17830322,17840321,164,1.65168831,143066.17871000
WBTC-USDC,17840322,17850321,108,1.48245606,127584.69669000
WBTC-USDC,17850322,17860321,568,7.36649434,632026.55534600
WBTC-USDC,17860322,17870321,584,7.99592935,677780.87242500
WBTC-USDC,17870322,17880321,385,5.43403520,462465.62760500
WBTC-USDC,17880322,17890321,312,2.86108717,246824.98018700
WBTC-USDC,17890322,17900321,239,3.23328762,279547.03992000
WBTC-USDC,17900322,17910321,141,1.61560710,139843.20299300
WBTC-USDC,17910322,17920321,59,0.44901547,38953.94425200
WBTC-USDC,17920322,17930321,174,2.65383559,229845.65409600
WBTC-USDC,17930322,17940321,112,1.31368363,114373.38603600
WBTC-USDC,17940322,17950321,567,8.00489283,716369.82061800
WBTC-USDC,17950322,17960321,276,3.36438028,306742.95420500
WBTC-USDC,17960322,17970321,121,1.72136157,156970.87076600
WBTC-USDC,17970322,17980321,134,1.87194219,170905.18569000
WBTC-USDC,17980322,17990321,162,2.41822991,222971.86251400
WBTC-USDC,17990322,18000321,189,1.91628782,178142.85376700
WBTC-USDC,18000322,18010321,78,1.29816873,120869.27350200
WBTC-USDC,18010322,18020321,86,0.91073755,84578.78557300
WBTC-USDC,18020322,18030321,358,4.54968177,420734.81901300
WBTC-USDC,18030322,18040321,419,5.81163569,536985.25509000
WBTC-USDC,18040322,18050321,158,1.96638564,182514.94838500
WBTC-USDC,18050322,18060321,182,1.97584652,184526.47191400
WBTC-USDC,18060322,18070321,159,1.71215333,159692.76525000
WBTC-USDC,18070322,18080321,150,1.90718996,178362.29217100
WBTC-USDC,18080322,18090321,96,0.96927450,90148.47574300
WBTC-USDC,18090322,18100321,82,0.85844824,80004.03684700
WBTC-USDC,18100322,18110321,47,0.53158116,49387.26953800
WBTC-USDC,18110322,18120321,311,3.15444918,291776.80697900
WBTC-USDC,18120322,18130321,246,2.82978564,261445.64013200
WBTC-USDC,18130322,18140321,439,4.22061410,387632.96654900
WBTC-USDC,18140322,18150321,82,0.84684859,78058.20282400
WBTC-USDC,18150322,18160321,108,0.63224649,58341.99873000
WBTC-USDC,18160322,18170321,110,1.28196707,118009.41173500
WBTC-USDC,18170322,18180321,60,0.66625148,61362.33197000
WBTC-USDC,18180322,18190321,99,1.50873716,138014.18055800
WBTC-USDC,18190322,18200321,144,1.86116714,169347.73995100
WBTC-USDC,18200322,18210321,521,6.23187739,563694.30646600
WBTC-USDC,18210322,18220321,304,3.65612496,326001.87395700
WBTC-USDC,18220322,18230321,138,1.63845562,146455.22307400
WBTC-USDC,18230322,18240321,51,0.79843006,71236.08083000
WBTC-USDC,18240322,18250321,47,0.54847803,49084.47030900
WBTC-USDC,18250322,18260321,19,0.21402776,19180.70815200
WBTC-USDC,18260322,18270321,58,0.88461475,79030.97610100
WBTC-USDC,18270322,18280321,22,0.17999074,16119.46653500
WBTC-USDC,18280322,18290321,56,0.49785933,44777.79723600
WBTC-USDC,18290322,18300321,75,0.86575751,77714.26027600
WBTC-USDC,18300322,18310321,49,0.69208217,61935.20619700
WBTC-USDC,18310322,18320321,37,0.50317609,44979.13881200
WBTC-USDC,18320322,18330321,35,0.45524313,40688.91218000
WBTC-USDC,18330322,18340321,27,0.33706253,30192.94198200
WBTC-USDC,18340322,18350321,31,0.31345060,28060.30893100
WBTC-USDC,18350322,18360321,48,0.39958362,35686.20070100
WBTC-USDC,18360322,18370321,34,0.50209886,44869.73010200
WBTC-USDC,18370322,18380321,297,3.59847389,319054.52293400
WBTC-USDC,18380322,18390321,363,2.79116612,252010.69795400
WBTC-USDC,18390322,18400321,71,0.68048250,62015.89165900
WBTC-USDC,18400322,18410321,363,5.27070746,473262.25547400
WBTC-USDC,18410322,18420321,234,2.10174896,190657.22227600
WBTC-USDC,18420322,18430321,74,0.70466126,64203.17396300
WBTC-USDC,18430322,18440321,55,0.50107960,45780.38264700
WBTC-USDC,18440322,18450321,92,0.59446055,54545.41636700
WBTC-USDC,18450322,18460321,139,1.21292857,111003.10484900
WBTC-USDC,18460322,18470321,412,5.09728138,461501.91101200
WBTC-USDC,18470322,18480321,196,2.53385005,227980.85760900
WBTC-USDC,18480322,18490321,159,1.50161031,136036.19210300
WBTC-USDC,18490322,18500321,60,1.08933607,98586.50704800
WBTC-USDC,18500322,18510321,70,0.94505726,85121.21654400
WBTC-USDC,18510322,18520321,66,1.58667516,142611.54886900
WBTC-USDC,18520322,18530321,72,0.50006408,45125.19678900
WBTC-USDC,18530322,18540321,67,0.98310642,88650.85770900
WBTC-USDC,18540322,18550321,193,2.82443185,255462.12578600
WBTC-USDC,18550322,18560321,490,5.68691939,527292.08469100
WBTC-USDC,18560322,18570321,181,2.54013954,236780.91191900
WBTC-USDC,18570322,18580321,146,2.29845576,212749.40477100
WBTC-USDC,18580322,18590321,105,1.27586289,117678.37204400
WBTC-USDC,18590322,18600321,37,0.65821860,60785.63725500
WBTC-USDC,18600322,18610321,21,0.34514146,31918.74399000
WBTC-USDC,18610322,18620321,189,1.74609272,161731.79113500
WBTC-USDC,18620322,18630321,132,1.98191869,182230.64079100
WBTC-USDC,18630322,18640321,120,2.39491908,219921.21401200
WBTC-USDC,18640322,18650321,333,2.81044151,259302.55079900
WBTC-USDC,18650322,18660321,637,8.59208241,795886.73641600
WBTC-USDC,18660322,18670321,164,1.84199872,169804.35622400
WBTC-USDC,18670322,18680321,390,2.75079130,249686.41923700
WBTC-USDC,18680322,18690321,76,1.13254284,101923.17224600
WBTC-USDC,18690322,18700321,67,0.91454175,82383.74138000
WBTC-USDC,18700322,18710321,42,0.39603052,35738.90888900
WBTC-USDC,18710322,18720321,47,0.81450833,73365.69122900
WBTC-USDC,18720322,18730321,391,4.96263563,445903.14873200
WBTC-USDC,18730322,18740321,243,2.64121519,239255.98153100
WBTC-USDC,18740322,18750321,317,3.36910020,310036.17351600
WBTC-USDC,18750322,18760321,179,2.16536245,199153.67681600
WBTC-USDC,18760322,18770321,101,0.92424071,85177.40101900
WBTC-USDC,18770322,18780321,49,0.57291053,52822.42435100
WBTC-USDC,18780322,18790321,41,0.53591671,49390.41974700
WBTC-USDC,18790322,18800321,33,0.45594128,42056.74961500
WBTC-USDC,18800322,18810321,146,1.73005926,159172.07002200
WBTC-USDC,18810322,18820321,376,5.76369519,519915.54637500
WBTC-USDC,18820322,18830321,106,1.71345969,154479.50271200
WBTC-USDC,18830322,18840321,27,0.20915034,18854.71730900
WBTC-USDC,18840322,18850321,19,0.16185342,14592.93704700
WBTC-USDC,18850322,18860321,9,0.10736902,9690.32000000
WBTC-USDC,18860322,18870321,24,0.03073189,2774.30382300
WBTC-USDC,18870322,18880321,65,0.70990684,64213.93840400
WBTC-USDC,18880322,18890321,25,0.28166756,25440.84804000
WBTC-USDC,18890322,18900321,66,0.40783481,36764.44875500
WBTC-USDC,18900322,18910321,18,0.62547687,56313.69870300
WBTC-USDC,18910322,18920321,27,0.35661473,32089.67853300
WBTC-USDC,18920322,18930321,18,0.29833947,26907.29576300
WBTC-USDC,18930322,18940321,14,0.13738947,12403.93105800
WBTC-USDC,18940322,18950321,12,0.17193960,15497.05159100
WBTC-USDC,18950322,18960321,4,0.03353523,3023.58228600
WBTC-USDC,18960322,18970321,70,1.55888954,139548.75998400
WBTC-USDC,18970322,18980321,81,1.66824659,148914.10112700
WBTC-USDC,18980322,18990321,60,1.19672749,106551.21292600
WBTC-USDC,18990322,19000321,54,0.58554688,52001.38935500
WBTC-USDC,19000322,19010321,70,1.23807702,109525.44326200
WBTC-USDC,19010322,19020321,202,3.37820420,298475.25777600
WBTC-USDC,19020322,19030321,111,1.10390425,98735.28091600
WBTC-USDC,19030322,19040321,33,0.76589711,68652.28511300
WBTC-USDC,19040322,19050321,40,1.12715858,101328.47206100
WBTC-USDC,19050322,19060321,52,0.51594776,46300.36179800
WBTC-USDC,19060322,19070321,421,6.03405552,532324.23335800
WBTC-USDC,19070322,19080321,343,4.74471677,410194.04702600
WBTC-USDC,19080322,19090321,248,3.34580208,287372.38318100
WBTC-USDC,19090322,19100321,89,1.29937812,111875.21538800
WBTC-USDC,19100322,19110321,94,1.44232798,124146.06032900
WBTC-USDC,19110322,19120321,101,1.60475979,137520.35172600
WBTC-USDC,19120322,19130321,87,0.97136095,83708.80219300
WBTC-USDC,19130322,19140321,96,1.36632490,118437.39118600
WBTC-USDC,19140322,19150321,186,2.64246710,230123.30383000
WBTC-USDC,19150322,19160321,438,6.42261197,558387.26275000
WBTC-USDC,19160322,19170321,132,1.28002187,111707.39485700
WBTC-USDC,19170322,19180321,130,1.00419732,87788.80406900
WBTC-USDC,19180322,19190321,51,0.32058631,28048.66665200
WBTC-USDC,19190322,19200321,71,0.91009646,79541.53410600
WBTC-USDC,19200322,19208957,92,1.48273336,128324.80650800
USDC-ETH,17000322,17010321,3256,3295684.77512200,1192.17551203
USDC-ETH,17010322,17020321,2166,2210639.35726500,805.64777186
USDC-ETH,17020322,17030321,1536,1374828.54454400,499.81652863
USDC-ETH,17030322,17040321,783,836823.50507200,303.23615607
USDC-ETH,17040322,17050321,959,1070048.00327600,390.80242078
USDC-ETH,17050322,17060321,856,937266.62984600,341.21854813
USDC-ETH,17060322,17070321,780,780765.40016000,286.65681884
USDC-ETH,17070322,17080321,1069,1043401.49645300,382.32952865
USDC-ETH,17080322,17090321,808,777461.69808900,283.39306030
USDC-ETH,17090322,17100321,344,304390.58880400,110.69885575
USDC-ETH,17100322,17110321,794,806645.37142000,291.79127889
USDC-ETH,17110322,17120321,928,813147.29712800,292.20430560
USDC-ETH,17120322,17130321,1025,914472.65966100,324.05533526
USDC-ETH,17130322,17140321,681,680866.58656000,242.02931084
USDC-ETH,17140322,17150321,588,515593.90011500,183.84481790
USDC-ETH,17150322,17160321,652,593018.27245200,210.21122124
USDC-ETH,17160322,17170321,1066,866838.73798200,306.44967166
USDC-ETH,17170322,17180321,1007,815806.64350100,290.45827984
USDC-ETH,17180322,17190321,775,676752.40608100,239.62436268
USDC-ETH,17190322,17200321,1126,893736.79722500,316.75468129
USDC-ETH,17200322,17210321,1766,1535373.64796100,546.60343431
USDC-ETH,17210322,17220321,1427,1254909.87126500,440.23356661
USDC-ETH,17220322,17230321,958,978441.49207700,344.82149980
USDC-ETH,17230322,17240321,818,781899.46587600,278.53065748
USDC-ETH,17240322,17250321,696,611189.04251000,217.66435779
USDC-ETH,17250322,17260321,2480,2610601.53050900,922.18839287
USDC-ETH,17260322,17270321,1500,1180666.85517900,404.08310836
USDC-ETH,17270322,17280321,932,733238.28377300,247.38557400
USDC-ETH,17280322,17290321,631,563122.28328800,190.94782752
USDC-ETH,17290322,17300321,675,640817.88099400,219.08904401
USDC-ETH,17300322,17310321,569,452274.19610400,154.56990999
USDC-ETH,17310322,17320321,802,634730.90408300,218.93592756
USDC-ETH,17320322,17330321,695,543335.36662200,187.74382993
USDC-ETH,17330322,17340321,1702,1607973.72575900,554.18719372
USDC-ETH,17340322,17350321,1880,1605940.78816800,552.12262998
USDC-ETH,17350322,17360321,1291,981419.44031700,336.05153081
USDC-ETH,17360322,17370321,1268,984800.49288700,334.76929828
USDC-ETH,17370322,17380321,681,508152.75225600,171.68067493
USDC-ETH,17380322,17390321,583,436190.87901400,148.17561746
USDC-ETH,17390322,17400321,593,425410.29201700,144.60883969
USDC-ETH,17400322,17410321,578,421487.03298600,144.45726892
USDC-ETH,17410322,17420321,563,537518.77956000,185.15542808
USDC-ETH,17420322,17430321,1292,1122984.03860500,384.02413247
USDC-ETH,17430322,17440321,1228,997977.30809200,333.63354811
USDC-ETH,17440322,17450321,502,558574.82425900,184.79752584
USDC-ETH,17450322,17460321,377,444309.75716200,147.00424856
USDC-ETH,17460322,17470321,699,577025.78730200,189.47915644
USDC-ETH,17470322,17480321,440,435276.80173500,143.29866445
USDC-ETH,17480322,17490321,313,228065.56130300,75.33757294
USDC-ETH,17490322,17500321,361,305023.14154500,100.58028057
USDC-ETH,17500322,17510321,534,512634.71627400,170.69148176
USDC-ETH,17510322,17520321,672,552581.80695200,183.94413697
USDC-ETH,17520322,17530321,331,304299.73031900,100.59816651
USDC-ETH,17530322,17540321,277,259153.47646100,85.39804393
USDC-ETH,17540322,17550321,519,501887.73955900,166.64144138
USDC-ETH,17550322,17560321,410,388056.88994400,129.16321609
USDC-ETH,17560322,17570321,273,238600.49252300,79.10793012
USDC-ETH,17570322,17580321,684,717423.19430300,235.91044033
USDC-ETH,17580322,17590321,537,497815.72440500,163.86732043
USDC-ETH,17590322,17600321,1067,1108687.29134500,361.69107453
USDC-ETH,17600322,17610321,1104,1278003.88668100,420.18784864
USDC-ETH,17610322,17620321,402,457962.78251900,150.51007382
USDC-ETH,17620322,17630321,310,316922.25192300,104.37797526
USDC-ETH,17630322,17640321,211,206714.13358200,68.06973310
USDC-ETH,17640322,17650321,249,257104.12304300,84.85660264
USDC-ETH,17650322,17660321,494,446033.19334900,148.00974866
USDC-ETH,17660322,17670321,259,268237.80678200,89.33015269
USDC-ETH,17670322,17680321,207,175149.06832000,58.41040009
USDC-ETH,17680322,17690321,307,312257.73734200,104.00455199
USDC-ETH,17690322,17700321,652,581033.69265700,194.71105543
USDC-ETH,17700322,17710321,235,215454.95000300,72.00707569
USDC-ETH,17710322,17720321,240,163024.84517400,54.49494985
USDC-ETH,17720322,17730321,358,313523.50500800,104.58553857
USDC-ETH,17730322,17740321,254,213659.91841600,71.33832857
USDC-ETH,17740322,17750321,342,217461.64463700,72.32979798
USDC-ETH,17750322,17760321,313,193032.07463200,64.13475492
USDC-ETH,17760322,17770321,656,452931.77875800,149.39904906
USDC-ETH,17770322,17780321,759,760875.61493500,251.55660025
USDC-ETH,17780322,17790321,340,265626.98588500,87.50551940
USDC-ETH,17790322,17800321,428,353321.97662500,116.79251498
USDC-ETH,17800322,17810321,2534,1752035.59389800,602.46321832
USDC-ETH,17810322,17820321,1442,1103864.92323200,387.85721563
USDC-ETH,17820322,17830321,756,596416.64325600,211.19060206
USDC-ETH,17830322,17840321,798,656406.88504900,231.20161681
USDC-ETH,17840322,17850321,672,679497.66467300,240.16617723
USDC-ETH,17850322,17860321,2368,1768536.76372700,628.93392771
USDC-ETH,17860322,17870321,2619,1951637.50912300,712.00681493
USDC-ETH,17870322,17880321,1820,1232089.06669600,448.19058408
USDC-ETH,17880322,17890321,1489,1075698.84838200,384.75759769
USDC-ETH,17890322,17900321,1485,1167103.98993800,416.67379246
USDC-ETH,17900322,17910321,874,544832.34149700,194.32208401
USDC-ETH,17910322,17920321,502,322102.69333500,114.85655976
USDC-ETH,17920322,17930321,873,646715.85499400,230.63775748
USDC-ETH,17930322,17940321,631,549323.55758100,194.20629871
USDC-ETH,17940322,17950321,3370,3303864.73184900,1122.48492601
USDC-ETH,17950322,17960321,1420,1202479.73745200,399.23996477
USDC-ETH,17960322,17970321,980,819774.72375300,273.87436480
USDC-ETH,17970322,17980321,638,552771.87776800,183.96084033
USDC-ETH,17980322,17990321,849,680029.24079900,224.80186542
USDC-ETH,17990322,18000321,763,620010.05263600,202.72427420
USDC-ETH,18000322,18010321,643,476160.62232700,155.54129333
USDC-ETH,18010322,18020321,665,522926.22002700,170.69314091
USDC-ETH,18020322,18030321,1970,1956636.75409900,635.91338307
USDC-ETH,18030322,18040321,2225,2071301.45042400,670.29575077
USDC-ETH,18040322,18050321,1333,1253065.73956100,401.11616141
USDC-ETH,18050322,18060321,1640,1625754.70193700,514.44922815
USDC-ETH,18060322,18070321,1365,1123562.95245100,351.03749603
USDC-ETH,18070322,18080321,741,621289.77405300,193.31765221
USDC-ETH,18080322,18090321,819,634076.67739900,198.42103660
USDC-ETH,18090322,18100321,632,459677.52920500,144.03109535
USDC-ETH,18100322,18110321,552,328869.33313700,103.16026626
USDC-ETH,18110322,18120321,1893,1730494.28725300,544.94445297
USDC-ETH,18120322,18130321,1749,1808395.15451000,568.87407953
USDC-ETH,18130322,18140321,2263,2083460.63834700,668.21062212
USDC-ETH,18140322,18150321,716,618801.33740300,197.25775178
USDC-ETH,18150322,18160321,815,691408.72086700,218.85883870
USDC-ETH,18160322,18170321,658,575945.75502200,181.59925168
USDC-ETH,18170322,18180321,529,410408.44590500,129.51095603
USDC-ETH,18180322,18190321,1044,849989.08533700,271.26050348
USDC-ETH,18190322,18200321,1462,1439422.83899300,461.44055139
USDC-ETH,18200322,18210321,3534,3817726.42317900,1232.03047009
USDC-ETH,18210322,18220321,2748,2120941.52411600,701.49464770
USDC-ETH,18220322,18230321,1110,727319.37411800,239.96849479
USDC-ETH,18230322,18240321,655,429305.08784200,142.05956825
USDC-ETH,18240322,18250321,466,305197.95713700,100.66400303
USDC-ETH,18250322,18260321,233,157324.66172900,51.78626955
USDC-ETH,18260322,18270321,607,450411.74139000,148.82227449
USDC-ETH,18270322,18280321,320,178919.05365600,58.97095267
USDC-ETH,18280322,18290321,677,496516.82794000,162.81382816
USDC-ETH,18290322,18300321,778,649376.70987300,213.10821391
USDC-ETH,18300322,18310321,635,331016.30158500,108.83135250
USDC-ETH,18310322,18320321,460,303316.07382700,99.68216097
USDC-ETH,18320322,18330321,497,346194.19827400,113.84472378
USDC-ETH,18330322,18340321,320,203518.30165000,66.68452266
USDC-ETH,18340322,18350321,291,152478.48979200,50.08609530
USDC-ETH,18350322,18360321,445,273229.07919400,90.03903702
USDC-ETH,18360322,18370321,348,263495.24765900,86.58344731
USDC-ETH,18370322,18380321,2552,2442411.70100200,820.11617905
USDC-ETH,18380322,18390321,2521,2160187.01420400,702.49000435
USDC-ETH,18390322,18400321,625,465242.54978900,148.44775433
USDC-ETH,18400322,18410321,2510,2181301.53108200,714.25736732
USDC-ETH,18410322,18420321,1633,1119819.22737300,361.73885625
USDC-ETH,18420322,18430321,843,616169.43200300,197.31773803
USDC-ETH,18430322,18440321,554,468525.21862100,149.59655249
USDC-ETH,18440322,18450321,779,704845.44077200,223.09342965
USDC-ETH,18450322,18460321,963,860778.69888200,273.85394957
USDC-ETH,18460322,18470321,3006,2754351.76698800,880.33608032
USDC-ETH,18470322,18480321,1348,1263558.32834000,406.17688902
USDC-ETH,18480322,18490321,748,720373.00016200,229.90462955
USDC-ETH,18490322,18500321,644,515174.84508300,164.84677616
USDC-ETH,18500322,18510321,740,524784.66573100,168.76599413
USDC-ETH,18510322,18520321,462,364617.54127500,117.25715151
USDC-ETH,18520322,18530321,363,300946.33016000,96.47937922
USDC-ETH,18530322,18540321,439,385422.48215300,123.85440341
USDC-ETH,18540322,18550321,1243,1394733.14434600,445.94967224
USDC-ETH,18550322,18560321,2605,2486054.22677700,762.97309575
USDC-ETH,18560322,18570321,1183,1032909.51602800,308.43090671
USDC-ETH,18570322,18580321,1450,1338409.64276900,403.08549200
USDC-ETH,18580322,18590321,937,773300.66544100,233.61834718
USDC-ETH,18590322,18600321,435,383146.03121400,115.70389558
USDC-ETH,18600322,18610321,293,227535.64157800,68.50203443
USDC-ETH,18610322,18620321,622,425853.03692800,127.71617693
USDC-ETH,18620322,18630321,729,649224.55765000,195.63408561
USDC-ETH,18630322,18640321,1280,1289621.99588900,387.85720650
USDC-ETH,18640322,18650321,1336,963977.86569500,285.48489873
USDC-ETH,18650322,18660321,3822,3761125.69529200,1111.61139630
USDC-ETH,18660322,18670321,1060,885789.10210200,265.51567651
USDC-ETH,18670322,18680321,2573,1664806.88493600,512.86997816
USDC-ETH,18680322,18690321,793,599484.11199900,187.60334737
USDC-ETH,18690322,18700321,576,464889.96067600,145.36145013
USDC-ETH,18700322,18710321,435,323890.77194100,101.18052392
USDC-ETH,18710322,18720321,425,345768.84687000,108.13647377
USDC-ETH,18720322,18730321,2668,2428413.54390600,764.09835980
USDC-ETH,18730322,18740321,1668,1334989.48811100,416.71359604
USDC-ETH,18740322,18750321,1968,1512375.61373500,467.06975756
USDC-ETH,18750322,18760321,1275,910905.40169200,282.42912346
USDC-ETH,18760322,18770321,836,510087.87949600,157.07561038
USDC-ETH,18770322,18780321,462,252501.35684200,77.65958728
USDC-ETH,18780322,18790321,514,260267.00871700,80.18392713
USDC-ETH,18790322,18800321,431,215367.70852800,66.44450216
USDC-ETH,18800322,18810321,1282,959930.84912200,297.44032525
USDC-ETH,18810322,18820321,3651,2900179.21347200,937.51487456
USDC-ETH,18820322,18830321,1246,1004806.15705200,326.30282254
USDC-ETH,18830322,18840321,395,229791.67217300,74.43570752
USDC-ETH,18840322,18850321,321,158670.81991200,51.38679592
USDC-ETH,18850322,18860321,130,48596.35546700,15.72500285
USDC-ETH,18860322,18870321,148,82937.26332100,26.82752947
USDC-ETH,18870322,18880321,526,380047.47603600,121.82137382
USDC-ETH,18880322,18890321,486,298904.75990500,95.89658736
USDC-ETH,18890322,18900321,523,363726.44194100,116.89241211
USDC-ETH,18900322,18910321,396,185605.91732500,59.79332307
USDC-ETH,18910322,18920321,412,291004.53335300,93.85774602
USDC-ETH,18920322,18930321,385,316302.92762800,101.59659409
USDC-ETH,18930322,18940321,332,194636.85586200,62.33482020
USDC-ETH,18940322,18950321,236,132628.61649800,42.58962999
USDC-ETH,18950322,18960321,213,105188.85102000,33.78429296
USDC-ETH,18960322,18970321,797,550435.07046600,178.13636533
USDC-ETH,18970322,18980321,988,825953.12396500,267.17056591
USDC-ETH,18980322,18990321,904,797520.86836700,258.34788601
USDC-ETH,18990322,19000321,908,726553.10584200,235.28807461
USDC-ETH,19000322,19010321,967,746515.80906800,242.47313022
USDC-ETH,19010322,19020321,1562,1438198.46053700,468.02894330
USDC-ETH,19020322,19030321,1061,800741.79329200,256.40046769
USDC-ETH,19030322,19040321,442,286614.45105600,91.63251618
USDC-ETH,19040322,19050321,499,317859.04860800,101.15442908
USDC-ETH,19050322,19060321,535,324934.80461600,102.85695227
USDC-ETH,19060322,19070321,2926,2504229.15055200,816.80114233
USDC-ETH,19070322,19080321,2165,1562322.95434600,522.81934042
USDC-ETH,19080322,19090321,1689,1362203.62445000,463.87055820
USDC-ETH,19090322,19100321,642,480063.14493300,162.72772347
USDC-ETH,19100322,19110321,940,759047.07865400,256.95164285
USDC-ETH,19110322,19120321,817,573026.61872800,195.79587763
USDC-ETH,19120322,19130321,554,414571.67313200,141.41381095
USDC-ETH,19130322,19140321,824,544524.43032100,185.29620078
USDC-ETH,19140322,19150321,1141,932295.36509300,315.77956760
USDC-ETH,19150322,19160321,2832,2017942.28230200,687.22789572
USDC-ETH,19160322,19170321,1360,815128.78901400,277.30321072
