pool,block_start,block_end,num_swaps,vol_token0,vol_token1
WBTC-USDC,17000322,17010321,681,9.57305418,806671.91984900
WBTC-USDC,17010322,17020321,437,3.85919111,324648.20225700
WBTC-USDC,17020322,17030321,344,4.08229954,345204.86034100
WBTC-USDC,17030322,17040321,120,2.22467691,188137.05933600
WBTC-USDC,17040322,17050321,154,1.75477115,147389.85319700
WBTC-USDC,17050322,17060321,151,1.42811335,120326.81278500
WBTC-USDC,17060322,17070321,177,2.26923693,190106.59842600
WBTC-USDC,17070322,17080321,176,1.75917869,147732.74585100
WBTC-USDC,17080322,17090321,127,1.08064817,91079.55766100
WBTC-USDC,17090322,17100321,41,0.45193020,38171.00451800
WBTC-USDC,17100322,17110321,118,1.58349791,133865.66678200
WBTC-USDC,17110322,17120321,144,2.04160328,173363.98050900
WBTC-USDC,17120322,17130321,141,1.55803138,133681.03482600
WBTC-USDC,17130322,17140321,96,1.33788545,114605.78720700
WBTC-USDC,17140322,17150321,81,0.76716864,65694.59288200
WBTC-USDC,17150322,17160321,91,1.08283713,93122.17870000
WBTC-USDC,17160322,17170321,203,1.91836492,165759.94667900
WBTC-USDC,17170322,17180321,195,1.79134629,155259.18985000
WBTC-USDC,17180322,17190321,98,1.22079163,106267.18002600
WBTC-USDC,17190322,17200321,171,2.23026824,194046.17756400
WBTC-USDC,17200322,17210321,345,4.36085633,378302.32098800
WBTC-USDC,17210322,17220321,272,3.62881583,316099.11199100
WBTC-USDC,17220322,17230321,162,2.63637031,229126.62927100
WBTC-USDC,17230322,17240321,244,2.79579051,240890.80970700
WBTC-USDC,17240322,17250321,162,2.37431117,204533.90386900
WBTC-USDC,17250322,17260321,523,8.04644494,694604.37479700
WBTC-USDC,17260322,17270321,360,2.56830691,225344.16629600
WBTC-USDC,17270322,17280321,155,1.63827660,144883.71947200
WBTC-USDC,17280322,17290321,92,1.10404002,97248.02244000
WBTC-USDC,17290322,17300321,85,2.00687993,175927.25266100
WBTC-USDC,17300322,17310321,115,1.23322662,108506.27332500
WBTC-USDC,17310322,17320321,130,1.73291292,151268.33112700
WBTC-USDC,17320322,17330321,99,1.45607409,126826.14222700
WBTC-USDC,17330322,17340321,309,4.89082583,425131.50920400
WBTC-USDC,17340322,17350321,310,4.51944474,393221.31267900
WBTC-USDC,17350322,17360321,293,3.37172306,293008.30836000
WBTC-USDC,17360322,17370321,224,3.27434800,285332.19508300
WBTC-USDC,17370322,17380321,111,1.46792973,128357.50383200
WBTC-USDC,17380322,17390321,88,1.43767240,125430.10237100
WBTC-USDC,17390322,17400321,60,0.54827730,47924.66834300
WBTC-USDC,17400322,17410321,95,1.07191926,93336.86942500
WBTC-USDC,17410322,17420321,86,1.38871722,120365.97145900
WBTC-USDC,17420322,17430321,199,3.66559670,318612.66820100
WBTC-USDC,17430322,17440321,234,3.40070026,301493.47747000
WBTC-USDC,17440322,17450321,71,0.96354486,86298.68905400
WBTC-USDC,17450322,17460321,45,0.88838137,79900.83044600
WBTC-USDC,17460322,17470321,89,2.13656085,193524.18874200
WBTC-USDC,17470322,17480321,95,1.07581244,97900.98242300
WBTC-USDC,17480322,17490321,18,0.22065127,20063.84365000
WBTC-USDC,17490322,17500321,33,0.50883782,46414.97029600
WBTC-USDC,17500322,17510321,90,1.04597516,94805.77111100
WBTC-USDC,17510322,17520321,91,0.93799817,84995.03948000
WBTC-USDC,17520322,17530321,43,0.48324015,44032.31053200
WBTC-USDC,17530322,17540321,57,0.46551106,42444.29570200
WBTC-USDC,17540322,17550321,68,1.10839592,100901.05814300
WBTC-USDC,17550322,17560321,79,0.78220080,70991.65208600
WBTC-USDC,17560322,17570321,48,0.36238660,33014.32228800
WBTC-USDC,17570322,17580321,104,2.18056894,198706.14029900
WBTC-USDC,17580322,17590321,80,0.89019707,81271.15832600
