vault,block_start,block_end,num_swaps,vol_token0,vol_token1
WBTC-USDC,19208958,19218957,51,0.86974273,75376.37748900
WBTC-USDC,19218958,19228957,53,0.89459019,77383.48649700
WBTC-USDC,19228958,19238957,183,2.07448776,180887.61503700
WBTC-USDC,19238958,19248957,856,10.82907227,949919.43999300
WBTC-USDC,19248958,19258957,160,2.55080380,219567.09851400
WBTC-USDC,19258958,19268957,80,1.33089887,114322.02177000
WBTC-USDC,19268958,19278957,25,0.64270493,55280.11600600
WBTC-USDC,19278958,19288957,108,1.39757097,120743.87742800
WBTC-USDC,19288958,19298957,64,0.36742802,31784.91977200
WBTC-USDC,19298958,19308957,57,0.52588373,45670.24296300
WBTC-USDC,19308958,19318957,32,0.40067480,34910.63252900
WBTC-USDC,19318958,19328957,630,8.12917858,716421.73268000
WBTC-USDC,19328958,19338957,537,6.99429868,608240.39992100
WBTC-USDC,19338958,19348957,312,4.43328418,378519.86487400
WBTC-USDC,19348958,19358957,171,2.29495589,196102.54065500
WBTC-USDC,19358958,19368957,46,0.87965578,75134.09846000
WBTC-USDC,19368958,19378957,390,3.82974664,331456.49646900
WBTC-USDC,19378958,19388957,186,1.50071037,131310.54737700
WBTC-USDC,19388958,19398957,95,0.74165051,65150.96998400
WBTC-USDC,19398958,19408957,60,0.70846810,62268.34217700
WBTC-USDC,19408958,19418957,442,5.51277172,485424.15817300
WBTC-USDC,19418958,19428957,256,3.76110321,329090.25637500
WBTC-USDC,19428958,19438957,144,2.16993353,190563.77383000
WBTC-USDC,19438958,19448957,74,0.52444453,46150.44948100
WBTC-USDC,19448958,19458957,14,0.13970573,12292.03743700
WBTC-USDC,19458958,19468957,37,0.26049046,22967.74691300
WBTC-USDC,19468958,19478957,30,0.07975837,7029.31542800
WBTC-USDC,19478958,19488957,16,0.05801362,5109.35539000
WBTC-USDC,19488958,19498957,50,0.68083687,59895.60958800
WBTC-USDC,19498958,19508957,26,0.11991069,10551.65871500
WBTC-USDC,19508958,19518957,16,0.12413718,10934.81116400
WBTC-USDC,19518958,19528957,18,0.15924444,14035.15868100
WBTC-USDC,19528958,19538957,32,0.20145933,17741.51889800
WBTC-USDC,19538958,19548957,20,0.19967691,17546.24521800
WBTC-USDC,19548958,19558957,4,0.02435105,2141.23553500
WBTC-USDC,19558958,19568957,73,0.70526788,62340.06665000
WBTC-USDC,19568958,19578957,40,0.29962587,26518.59252200
