vault,block,tx_hash,burn_amt0,burn_amt1,collect_amt0,collect_amt1,fee0,fee1
steer-competitor-usdc-eth,17007432,0xe89361fb9e25b1f04090e90da72c9cb109cc8130e96445778e0a1575db956b18,450.71010700,0.214774542379654515,474.40535400,0.223561275262732728,23.69524700,0.008786732883078213
steer-competitor-usdc-eth,17139129,0x086a5564d0defc680b23da6b1ed75e548dae64151e948b3fbf997cc3b36bdeee,9590.83536000,4.149889793689321316,9605.39476600,4.155101318591852610,14.55940600,0.005211524902531295
steer-competitor-usdc-eth,17309253,0xa8d2feb309f84fc4180ae3e1beb95c872067eff7d46f4f5766579767e6be67ef,11939.69061900,3.351170894921513987,11960.92581800,3.358328508981688110,21.23519900,0.007157614060174122
steer-competitor-usdc-eth,17486357,0x0526f08cd2d443ea345fd14e8af0bcb15531b93248114da2e3eaa0c6715ad9d8,12213.56161800,3.430522409534501271,12230.98730300,3.436171333582792364,17.42568500,0.005648924048291093
steer-competitor-usdc-eth,17660805,0xa64706ebc2fd8b06967ee05ce78e8c8fef921c0f3c4ffbc08a1ff4b11188bb48,9754.91227900,4.248629610804735890,9764.89523200,4.251978482169823437,9.98295300,0.003348871365087547
steer-competitor-usdc-eth,17837198,0x0d6dec926da39cd6df1e8004f74e94106a368da137bdbef7b9908f9e61c647e1,6976.70475300,5.212368068036933977,6985.56604100,5.215797142557164534,8.86128800,0.003429074520230557
steer-competitor-usdc-eth,18043669,0x6a80d9199d13140d76aa24515075c51efde683894a1cc1487028ec941dcad9be,15407.37581800,2.342286837859044457,15413.61483000,2.344784870756931650,6.23901200,0.002498032897887192
steer-competitor-usdc-eth,18117982,0x8a7e70656156d4d1d31ed0931e6b36668f061d445d66063c8146d35dd740dc2f,478.67002600,0.163523278791496196,478.67002600,0.163523278791496196,0.00000000,0.000000000000000000
steer-competitor-usdc-eth,18173510,0x6ef63f572a606821fa1ff6008a120905aeb6a31dac77783d42c3e1d1f2b99d20,10496.74098100,3.598252236348510547,10496.74098100,3.598252236348510547,0.00000000,0.000000000000000000
steer-competitor-usdc-eth,18372895,0x4f9f42b2bf0e5d97436f86ee229308a3d05f705534637faf9f59307185b02f7f,7827.09180900,4.773788443165280171,7831.09411000,4.775094085435265256,4.00230100,0.001305642269985086
