block,timestamp,amount0,amount1,total_supply,price,tick
19208958,1765951769,0.01500134,1300.000047,1000000000,86658.900000,67649
19210958,1765953769,0.01496440,1303.211847,1000000000,86689.930000,67652
19212958,1765955769,0.01504626,1296.126645,1000000000,86621.200000,67644
19214958,1765957769,0.01472123,1324.343732,1000000000,86894.570000,67676
19216958,1765959769,0.01504986,1295.843561,1000000000,86618.180000,67644
19218958,1765961769,0.01540629,1265.036073,1000000000,86319.900000,67609
19220958,1765963769,0.01547211,1259.367587,1000000000,86264.990000,67603
19222958,1765965769,0.01551793,1255.418550,1000000000,86226.790000,67599
19224958,1765967769,0.01498434,1301.580144,1000000000,86673.180000,67650
19226958,1765969769,0.01515683,1286.647636,1000000000,86528.500000,67633
19228958,1765971769,0.01487174,1311.359104,1000000000,86767.820000,67661
19230958,1765973769,0.01460535,1334.521938,1000000000,86992.340000,67687
19232958,1765975769,0.01486211,1312.222855,1000000000,86775.920000,67662
19234958,1765977769,0.01470586,1325.818881,1000000000,86907.530000,67677
19236958,1765979769,0.01416421,1373.076678,1000000000,87366.070000,67730
19238958,1765981769,0.01392237,1394.257288,1000000000,87571.970000,67753
19240958,1765983769,0.01226931,1540.345540,1000000000,88999.110000,67915
19242958,1765985769,0.01200930,1563.629699,1000000000,89226.750000,67941
19244958,1765987769,0.01411848,1377.622399,1000000000,87404.950000,67734
19246958,1765989769,0.01547377,1260.090649,1000000000,86263.600000,67603
19248958,1765991769,0.01500807,1300.430855,1000000000,86653.250000,67648
19250958,1765993769,0.01547424,1260.157655,1000000000,86263.210000,67603
19252958,1765995769,0.01520732,1283.252291,1000000000,86486.220000,67629
19254958,1765997769,0.01607915,1208.203151,1000000000,85761.000000,67544
19256958,1765999769,0.01617578,1199.947844,1000000000,85681.180000,67535
19258958,1766001769,0.01588357,1225.059728,1000000000,85922.890000,67563
19260958,1766003769,0.01593857,1220.370559,1000000000,85877.320000,67558
19262958,1766005769,0.01597609,1217.167271,1000000000,85846.250000,67554
19264958,1766007769,0.01608885,1207.500500,1000000000,85752.980000,67543
19266958,1766009769,0.01582287,1230.346640,1000000000,85973.230000,67569
19268958,1766011769,0.01572551,1238.742197,1000000000,86054.070000,67578
19270958,1766013769,0.01580370,1232.025253,1000000000,85989.140000,67571
19272958,1766015769,0.01580372,1232.027688,1000000000,85989.120000,67571
19274958,1766017769,0.01565880,1244.512161,1000000000,86109.520000,67585
19276958,1766019769,0.01565880,1244.512161,1000000000,86109.520000,67585
19278958,1766021769,0.01587474,1225.952446,1000000000,85930.210000,67564
19280958,1766023769,0.01565726,1244.671939,1000000000,86110.800000,67585
19282958,1766025769,0.01516680,1287.050029,1000000000,86520.150000,67633
19284958,1766027769,0.01525190,1279.695222,1000000000,86448.910000,67624
19286958,1766029769,0.01536808,1269.678189,1000000000,86351.800000,67613
19288958,1766031769,0.01506637,1295.783632,1000000000,86604.330000,67642
19290958,1766033769,0.01499881,1301.638771,1000000000,86661.030000,67649
19292958,1766035769,0.01517137,1286.702269,1000000000,86516.320000,67632
19294958,1766037769,0.01534245,1271.923152,1000000000,86373.210000,67616
19296958,1766039769,0.01531973,1273.886993,1000000000,86392.200000,67618
19298958,1766041769,0.01510542,1292.427133,1000000000,86571.580000,67638
19300958,1766043769,0.01501633,1300.146235,1000000000,86646.320000,67647
19302958,1766045769,0.01501554,1300.218809,1000000000,86646.980000,67647
19304958,1766047769,0.01470360,1327.299856,1000000000,86909.430000,67677
19306958,1766049769,0.01486322,1313.443681,1000000000,86774.990000,67662
19308958,1766051769,0.01447023,1347.622830,1000000000,87106.560000,67700
19310958,1766053769,0.01438765,1354.820995,1000000000,87176.470000,67708
19312958,1766055769,0.01443179,1350.975341,1000000000,87139.090000,67704
19314958,1766057769,0.01448101,1346.695062,1000000000,87097.440000,67699
19316958,1766059769,0.01443084,1351.067470,1000000000,87139.900000,67704
19318958,1766061769,0.01437127,1356.274298,1000000000,87190.350000,67710
19320958,1766063769,0.01380629,1405.707402,1000000000,87671.060000,67765
19322958,1766065769,0.01263164,1509.394455,1000000000,88683.330000,67879
19324958,1766067769,0.01291993,1483.960755,1000000000,88433.270000,67851
19326958,1766069769,0.01309729,1468.504395,1000000000,88279.960000,67834
19328958,1766071769,0.01298310,1478.696995,1000000000,88378.620000,67845
19330958,1766073769,0.01317942,1461.446577,1000000000,88209.100000,67826
19332958,1766075769,0.01345916,1436.852149,1000000000,87968.390000,67799
19334958,1766077769,0.01491924,1309.416011,1000000000,86727.880000,67656
19336958,1766079769,0.01536847,1270.727888,1000000000,86351.480000,67613
19338958,1766081769,0.01518623,1286.544868,1000000000,86503.880000,67631
19340958,1766083769,0.01552118,1257.663441,1000000000,86224.080000,67598
19342958,1766085769,0.01625221,1194.914837,1000000000,85618.130000,67528
19344958,1766087769,0.01710320,1122.424402,1000000000,84920.750000,67446
19346958,1766089769,0.01705207,1126.837459,1000000000,84962.410000,67451
19348958,1766091769,0.01682678,1146.047087,1000000000,85146.330000,67472
19350958,1766093769,0.01619330,1200.190697,1000000000,85666.720000,67533
19352958,1766095769,0.01631526,1189.793263,1000000000,85566.160000,67522
19354958,1766097769,0.01637599,1184.633557,1000000000,85516.160000,67516
19356958,1766099769,0.01636994,1185.174909,1000000000,85521.140000,67516
19358958,1766101769,0.01654212,1170.473749,1000000000,85379.590000,67500
19360958,1766103769,0.01641234,1181.571666,1000000000,85486.250000,67512
19362958,1766105769,0.01638599,1183.834466,1000000000,85507.930000,67515
19364958,1766107769,0.01656005,1168.978080,1000000000,85364.870000,67498
19366958,1766109769,0.01660668,1165.012052,1000000000,85326.600000,67494
19368958,1766111769,0.01643089,1180.034640,1000000000,85470.990000,67510
19370958,1766113769,0.01550867,1259.271301,1000000000,86234.510000,67599
19372958,1766115769,0.01453942,1343.372262,1000000000,87048.040000,67693
19374958,1766117769,0.01435436,1359.552452,1000000000,87204.680000,67711
19376958,1766119769,0.01462335,1336.134262,1000000000,86977.140000,67685
19378958,1766121769,0.01482201,1318.881913,1000000000,86809.670000,67666
19380958,1766123769,0.01453143,1344.157426,1000000000,87054.800000,67694
19382958,1766125769,0.01468548,1330.764607,1000000000,86924.710000,67679
19384958,1766127769,0.01397437,1392.817483,1000000000,87527.640000,67748
19386958,1766129769,0.01372687,1414.550243,1000000000,87738.960000,67772
19388958,1766131769,0.01347964,1436.279539,1000000000,87950.810000,67797
19390958,1766133769,0.01368954,1417.857721,1000000000,87770.900000,67776
19392958,1766135769,0.01366489,1420.027501,1000000000,87792.000000,67778
19394958,1766137769,0.01363467,1422.681345,1000000000,87817.870000,67781
19396958,1766139769,0.01352745,1432.113716,1000000000,87909.780000,67792
19398958,1766141769,0.01346289,1437.804209,1000000000,87965.190000,67798
19400958,1766143769,0.01342605,1441.046680,1000000000,87996.830000,67802
19402958,1766145769,0.01350884,1433.774960,1000000000,87925.750000,67794
19404958,1766147769,0.01355033,1430.140327,1000000000,87890.160000,67790
19406958,1766149769,0.01360511,1425.334625,1000000000,87843.200000,67784
