block,timestamp,amount0,amount1,total_supply,price,tick
19208958,1765951769,0.01500134,1300.000047,1000000000,86658.900000,67649
19210958,1765953769,0.01495673,1303.876610,1000000000,86689.930000,67652
19212958,1765955769,0.01505558,1295.318828,1000000000,86621.200000,67644
19214958,1765957769,0.01466308,1329.389572,1000000000,86894.570000,67676
19216958,1765959769,0.01505993,1294.971025,1000000000,86618.180000,67644
19218958,1765961769,0.01549035,1257.765826,1000000000,86319.900000,67609
19220958,1765963769,0.01556983,1250.918388,1000000000,86264.990000,67603
19222958,1765965769,0.01562517,1246.148953,1000000000,86226.790000,67599
19224958,1765967769,0.01498081,1301.886083,1000000000,86673.180000,67650
19226958,1765969769,0.01518911,1283.852743,1000000000,86528.500000,67633
19228958,1765971769,0.01484484,1313.692000,1000000000,86767.820000,67661
19230958,1765973769,0.01452315,1341.659086,1000000000,86992.340000,67687
19232958,1765975769,0.01483321,1314.729182,1000000000,86775.920000,67662
19234958,1765977769,0.01464452,1331.142004,1000000000,86907.530000,67677
19236958,1765979769,0.01399043,1388.197126,1000000000,87366.070000,67730
19238958,1765981769,0.01369840,1413.768701,1000000000,87571.970000,67753
19240958,1765983769,0.01170218,1590.150913,1000000000,88999.110000,67915
19242958,1765985769,0.01138821,1618.244672,1000000000,89226.750000,67941
19244958,1765987769,0.01393521,1393.572387,1000000000,87404.950000,67734
19246958,1765989769,0.01557184,1251.611601,1000000000,86263.600000,67603
19248958,1765991769,0.01500947,1300.309801,1000000000,86653.250000,67648
19250958,1765993769,0.01557241,1251.670233,1000000000,86263.210000,67603
19252958,1765995769,0.01525008,1279.550749,1000000000,86486.220000,67629
19254958,1765997769,0.01630288,1188.915406,1000000000,85761.000000,67544
19256958,1765999769,0.01641957,1178.940614,1000000000,85681.180000,67535
19258958,1766001769,0.01606671,1209.256969,1000000000,85922.890000,67563
19260958,1766003769,0.01613312,1203.587152,1000000000,85877.320000,67558
19262958,1766005769,0.01617843,1199.715102,1000000000,85846.250000,67554
19264958,1766007769,0.01631460,1188.040024,1000000000,85752.980000,67543
19266958,1766009769,0.01599341,1215.626874,1000000000,85973.230000,67569
19268958,1766011769,0.01587583,1225.760926,1000000000,86054.070000,67578
19270958,1766013769,0.01597025,1217.647702,1000000000,85989.140000,67571
19272958,1766015769,0.01597028,1217.649707,1000000000,85989.120000,67571
19274958,1766017769,0.01579527,1232.722891,1000000000,86109.520000,67585
19276958,1766019769,0.01579527,1232.722891,1000000000,86109.520000,67585
19278958,1766021769,0.01605605,1210.307185,1000000000,85930.210000,67564
19280958,1766023769,0.01579341,1232.910180,1000000000,86110.800000,67585
19282958,1766025769,0.01520114,1284.076097,1000000000,86520.150000,67633
19284958,1766027769,0.01530391,1275.193423,1000000000,86448.910000,67624
19286958,1766029769,0.01544421,1263.092682,1000000000,86351.800000,67613
19288958,1766031769,0.01507987,1294.614277,1000000000,86604.330000,67642
19290958,1766033769,0.01499828,1301.684406,1000000000,86661.030000,67649
19292958,1766035769,0.01520666,1283.646212,1000000000,86516.320000,67632
19294958,1766037769,0.01541326,1265.797144,1000000000,86373.210000,67616
19296958,1766039769,0.01538582,1268.168499,1000000000,86392.200000,67618
19298958,1766041769,0.01512703,1290.555817,1000000000,86571.580000,67638
19300958,1766043769,0.01501944,1299.876697,1000000000,86646.320000,67647
19302958,1766045769,0.01501849,1299.963412,1000000000,86646.980000,67647
19304958,1766047769,0.01464180,1332.663628,1000000000,86909.430000,67677
19306958,1766049769,0.01483454,1315.930096,1000000000,86774.990000,67662
19308958,1766051769,0.01435998,1357.201664,1000000000,87106.560000,67700
19310958,1766053769,0.01426026,1365.893508,1000000000,87176.470000,67708
19312958,1766055769,0.01431356,1361.249277,1000000000,87139.090000,67704
19314958,1766057769,0.01437299,1356.078996,1000000000,87097.440000,67699
19316958,1766059769,0.01431241,1361.358713,1000000000,87139.900000,67704
19318958,1766061769,0.01424048,1367.643296,1000000000,87190.350000,67710
19320958,1766063769,0.01355822,1427.330141,1000000000,87671.060000,67765
19322958,1766065769,0.01213973,1552.517801,1000000000,88683.330000,67879
19324958,1766067769,0.01248787,1521.784289,1000000000,88433.270000,67851
19326958,1766069769,0.01270205,1503.074947,1000000000,88279.960000,67834
19328958,1766071769,0.01256415,1515.361272,1000000000,88378.620000,67845
19330958,1766073769,0.01280123,1494.512644,1000000000,88209.100000,67826
19332958,1766075769,0.01313904,1464.802990,1000000000,87968.390000,67799
19334958,1766077769,0.01490219,1310.893624,1000000000,86727.880000,67656
19336958,1766079769,0.01544467,1264.135513,1000000000,86351.480000,67613
19338958,1766081769,0.01522460,1283.222053,1000000000,86503.880000,67631
19340958,1766083769,0.01562909,1248.335636,1000000000,86224.080000,67598
19342958,1766085769,0.01651186,1172.548814,1000000000,85618.130000,67528
19344958,1766087769,0.01753950,1084.995624,1000000000,84920.750000,67446
19346958,1766089769,0.01747776,1090.310232,1000000000,84962.410000,67451
19348958,1766091769,0.01720571,1113.497371,1000000000,85146.330000,67472
19350958,1766093769,0.01644073,1178.871882,1000000000,85666.720000,67533
19352958,1766095769,0.01658801,1166.306857,1000000000,85566.160000,67522
19354958,1766097769,0.01666134,1160.068917,1000000000,85516.160000,67516
19356958,1766099769,0.01665403,1160.717675,1000000000,85521.140000,67516
19358958,1766101769,0.01686195,1142.962412,1000000000,85379.590000,67500
19360958,1766103769,0.01670523,1156.361875,1000000000,85486.250000,67512
19362958,1766105769,0.01667341,1159.092318,1000000000,85507.930000,67515
19364958,1766107769,0.01688360,1141.148997,1000000000,85364.870000,67498
19366958,1766109769,0.01693992,1136.356745,1000000000,85326.600000,67494
19368958,1766111769,0.01672764,1154.495651,1000000000,85470.990000,67510
19370958,1766113769,0.01561398,1250.167517,1000000000,86234.510000,67599
19372958,1766115769,0.01444354,1351.700311,1000000000,87048.040000,67693
19374958,1766117769,0.01422006,1371.227524,1000000000,87204.680000,67711
19376958,1766119769,0.01454489,1342.946358,1000000000,86977.140000,67685
19378958,1766121769,0.01478478,1322.110781,1000000000,86809.670000,67666
19380958,1766123769,0.01443388,1352.629982,1000000000,87054.800000,67694
19382958,1766125769,0.01461992,1336.455269,1000000000,86924.710000,67679
19384958,1766127769,0.01376119,1411.383964,1000000000,87527.640000,67748
19386958,1766129769,0.01346231,1437.619048,1000000000,87738.960000,67772
19388958,1766131769,0.01316376,1463.856521,1000000000,87950.810000,67797
19390958,1766133769,0.01341723,1441.606559,1000000000,87770.900000,67776
19392958,1766135769,0.01338746,1444.225509,1000000000,87792.000000,67778
19394958,1766137769,0.01335098,1447.429993,1000000000,87817.870000,67781
19396958,1766139769,0.01322150,1458.818003,1000000000,87909.780000,67792
19398958,1766141769,0.01314354,1465.687001,1000000000,87965.190000,67798
19400958,1766143769,0.01309905,1469.602252,1000000000,87996.830000,67802
19402958,1766145769,0.01319902,1460.818948,1000000000,87925.750000,67794
19404958,1766147769,0.01324912,1456.427230,1000000000,87890.160000,67790
19406958,1766149769,0.01331527,1450.622341,1000000000,87843.200000,67784
19408958,1766151769,0.01318270,1462.291857,1000000000,87937.350000,67795
19410958,1766153769,0.01309198,1470.286180,1000000000,88001.860000,67802
19412958,1766155769,0.01299194,1479.223328,1000000000,88073.080000,67810
19414958,1766157769,0.01301826,1477.033357,1000000000,88054.340000,67808
19416958,1766159769,0.01349606,1435.117244,1000000000,87715.060000,67770
19418958,1766161769,0.01282284,1494.366428,1000000000,88193.670000,67824
19420958,1766163769,0.01332532,1450.203505,1000000000,87836.070000,67783
19422958,1766165769,0.01445270,1351.707725,1000000000,87041.630000,67693
19424958,1766167769,0.01458546,1340.224807,1000000000,86948.780000,67682
19426958,1766169769,0.01462665,1336.684810,1000000000,86920.010000,67679
19428958,1766171769,0.01424220,1370.162448,1000000000,87189.140000,67710
19430958,1766173769,0.01330527,1452.203186,1000000000,87850.300000,67785
19432958,1766175769,0.01312794,1467.831166,1000000000,87976.280000,67799
19434958,1766177769,0.01312608,1468.048883,1000000000,87977.600000,67800
19436958,1766179769,0.01326144,1456.155905,1000000000,87881.410000,67789
19438958,1766181769,0.01343511,1440.912271,1000000000,87758.230000,67775
19440958,1766183769,0.01302031,1477.401960,1000000000,88052.880000,67808
19442958,1766185769,0.01297009,1481.828795,1000000000,88088.650000,67812
19444958,1766187769,0.01300354,1478.883758,1000000000,88064.820000,67809
19446958,1766189769,0.01313690,1467.150564,1000000000,87969.910000,67799
19448958,1766191769,0.01313690,1467.150564,1000000000,87969.910000,67799
19450958,1766193769,0.01317310,1463.969134,1000000000,87944.170000,67796
19452958,1766195769,0.01317310,1463.969134,1000000000,87944.170000,67796
19454958,1766197769,0.01317312,1463.969715,1000000000,87944.160000,67796
19456958,1766199769,0.01302818,1476.728059,1000000000,88047.270000,67807
19458958,1766201769,0.01302818,1476.728059,1000000000,88047.270000,67807
19460958,1766203769,0.01305876,1474.037052,1000000000,88025.500000,67805
19462958,1766205769,0.01303192,1476.401121,1000000000,88044.610000,67807
19464958,1766207769,0.01303192,1476.401121,1000000000,88044.610000,67807
19466958,1766209769,0.01277602,1498.967344,1000000000,88227.100000,67828
19468958,1766211769,0.01288569,1489.299398,1000000000,88148.820000,67819
19470958,1766213769,0.01288806,1489.090623,1000000000,88147.130000,67819
19472958,1766215769,0.01293525,1484.933243,1000000000,88113.480000,67815
19474958,1766217769,0.01290779,1487.354261,1000000000,88133.060000,67817
19476958,1766219769,0.01288687,1489.199053,1000000000,88147.980000,67819
19478958,1766221769,0.01290825,1487.316453,1000000000,88132.730000,67817
19480958,1766223769,0.01290841,1487.302863,1000000000,88132.620000,67817
19482958,1766225769,0.01293640,1484.836744,1000000000,88112.660000,67815
19484958,1766227769,0.01300056,1479.186851,1000000000,88066.940000,67810
19486958,1766229769,0.01300056,1479.186851,1000000000,88066.940000,67810
19488958,1766231769,0.01297203,1481.701292,1000000000,88087.270000,67812
19490958,1766233769,0.01295109,1483.546391,1000000000,88102.190000,67814
19492958,1766235769,0.01292914,1485.481756,1000000000,88117.840000,67815
19494958,1766237769,0.01322269,1459.676581,1000000000,87908.930000,67792
19496958,1766239769,0.01315901,1465.287727,1000000000,87954.190000,67797
19498958,1766241769,0.01307513,1472.670284,1000000000,88013.850000,67804
19500958,1766243769,0.01302839,1476.786173,1000000000,88047.120000,67807
19502958,1766245769,0.01315771,1465.410404,1000000000,87955.110000,67797
19504958,1766247769,0.01310704,1469.870383,1000000000,87991.150000,67801
19506958,1766249769,0.01309898,1470.579398,1000000000,87996.880000,67802
19508958,1766251769,0.01310279,1470.244560,1000000000,87994.170000,67801
19510958,1766253769,0.01311025,1469.588099,1000000000,87988.860000,67801
19512958,1766255769,0.01311025,1469.588099,1000000000,87988.860000,67801
19514958,1766257769,0.01297290,1481.688504,1000000000,88086.650000,67812
19516958,1766259769,0.01296270,1482.587563,1000000000,88093.920000,67813
19518958,1766261769,0.01296584,1482.310757,1000000000,88091.680000,67813
19520958,1766263769,0.01296167,1482.678042,1000000000,88094.650000,67813
19522958,1766265769,0.01284781,1492.717234,1000000000,88175.850000,67822
19524958,1766267769,0.01289617,1488.455555,1000000000,88141.350000,67818
19526958,1766269769,0.01297691,1481.343594,1000000000,88083.790000,67812
19528958,1766271769,0.01289385,1488.665118,1000000000,88143.000000,67818
19530958,1766273769,0.01289384,1488.666485,1000000000,88143.010000,67818
19532958,1766275769,0.01286898,1490.862272,1000000000,88160.740000,67820
19534958,1766277769,0.01286489,1491.223232,1000000000,88163.660000,67821
19536958,1766279769,0.01286489,1491.223232,1000000000,88163.660000,67821
19538958,1766281769,0.01313470,1467.470384,1000000000,87971.470000,67799
19540958,1766283769,0.01326322,1456.174895,1000000000,87880.150000,67788
19542958,1766285769,0.01334889,1448.653025,1000000000,87819.350000,67782
19544958,1766287769,0.01319549,1462.138280,1000000000,87928.260000,67794
19546958,1766289769,0.01319549,1462.138280,1000000000,87928.260000,67794
19548958,1766291769,0.01319622,1462.073963,1000000000,87927.740000,67794
19550958,1766293769,0.01319599,1462.093768,1000000000,87927.900000,67794
19552958,1766295769,0.01319599,1462.093768,1000000000,87927.900000,67794
19554958,1766297769,0.01319599,1462.093768,1000000000,87927.900000,67794
19556958,1766299769,0.01317343,1464.079171,1000000000,87943.940000,67796
