block,timestamp,amount0,amount1,total_supply,price,tick
19208958,1765951769,0.01500134,1300.000047,1000000000,86658.900000,67649
19210958,1765953769,0.01492633,1306.511333,1000000000,86689.930000,67652
19212958,1765955769,0.01509254,1292.117129,1000000000,86621.200000,67644
19214958,1765957769,0.01443262,1349.388251,1000000000,86894.570000,67676
19216958,1765959769,0.01509985,1291.512820,1000000000,86618.180000,67644
19218958,1765961769,0.01582351,1228.950932,1000000000,86319.900000,67609
19220958,1765963769,0.01595714,1217.430840,1000000000,86264.990000,67603
19222958,1765965769,0.01605018,1209.409838,1000000000,86226.790000,67599
19224958,1765967769,0.01496682,1303.098640,1000000000,86673.180000,67650
19226958,1765969769,0.01531703,1272.775466,1000000000,86528.500000,67633
19228958,1765971769,0.01473821,1322.938199,1000000000,86767.820000,67661
19230958,1765973769,0.01419735,1369.946452,1000000000,86992.340000,67687
19232958,1765975769,0.01471866,1324.662756,1000000000,86775.920000,67662
19234958,1765977769,0.01440141,1352.239666,1000000000,86907.530000,67677
19236958,1765979769,0.01330169,1448.125501,1000000000,87366.070000,67730
19238958,1765981769,0.01281070,1491.100225,1000000000,87571.970000,67753
19240958,1765983769,0.00945445,1787.549504,1000000000,88999.110000,67915
19242958,1765985769,0.00892656,1834.705632,1000000000,89226.750000,67941
19244958,1765987769,0.01320885,1456.788560,1000000000,87404.950000,67734
19246958,1765989769,0.01596052,1218.005750,1000000000,86263.600000,67603
19248958,1765991769,0.01501501,1299.830015,1000000000,86653.250000,67648
19250958,1765993769,0.01596147,1218.031188,1000000000,86263.210000,67603
19252958,1765995769,0.01541954,1264.880059,1000000000,86486.220000,67629
19254958,1765997769,0.01718962,1112.470366,1000000000,85761.000000,67544
19256958,1765999769,0.01738582,1095.680564,1000000000,85681.180000,67535
19258958,1766001769,0.01679255,1146.624320,1000000000,85922.890000,67563
19260958,1766003769,0.01690421,1137.067805,1000000000,85877.320000,67558
19262958,1766005769,0.01698039,1130.545182,1000000000,85846.250000,67554
19264958,1766007769,0.01720933,1110.910382,1000000000,85752.980000,67543
19266958,1766009769,0.01666930,1157.286561,1000000000,85973.230000,67569
19268958,1766011769,0.01647162,1174.310962,1000000000,86054.070000,67578
19270958,1766013769,0.01663038,1160.663725,1000000000,85989.140000,67571
19272958,1766015769,0.01663043,1160.664025,1000000000,85989.120000,67571
19274958,1766017769,0.01633618,1185.997303,1000000000,86109.520000,67585
19276958,1766019769,0.01633618,1185.997303,1000000000,86109.520000,67585
19278958,1766021769,0.01677462,1148.298769,1000000000,85930.210000,67564
19280958,1766023769,0.01633306,1186.293631,1000000000,86110.800000,67585
19282958,1766025769,0.01533727,1272.289215,1000000000,86520.150000,67633
19284958,1766027769,0.01551006,1257.350997,1000000000,86448.910000,67624
19286958,1766029769,0.01574594,1236.991687,1000000000,86351.800000,67613
19288958,1766031769,0.01513337,1289.979655,1000000000,86604.330000,67642
19290958,1766033769,0.01499619,1301.865277,1000000000,86661.030000,67649
19292958,1766035769,0.01534655,1271.533836,1000000000,86516.320000,67632
19294958,1766037769,0.01569390,1241.517328,1000000000,86373.210000,67616
19296958,1766039769,0.01564776,1245.503823,1000000000,86392.200000,67618
19298958,1766041769,0.01521266,1283.139041,1000000000,86571.580000,67638
19300958,1766043769,0.01503177,1298.808408,1000000000,86646.320000,67647
19302958,1766045769,0.01503017,1298.951173,1000000000,86646.980000,67647
19304958,1766047769,0.01439683,1353.922400,1000000000,86909.430000,67677
19306958,1766049769,0.01472090,1325.784751,1000000000,86774.990000,67662
19308958,1766051769,0.01392301,1395.166408,1000000000,87106.560000,67700
19310958,1766053769,0.01375536,1409.778302,1000000000,87176.470000,67708
19312958,1766055769,0.01384497,1401.968991,1000000000,87139.090000,67704
19314958,1766057769,0.01394489,1393.271275,1000000000,87097.440000,67699
19316958,1766059769,0.01384303,1402.147019,1000000000,87139.900000,67704
