block,timestamp,amount0,amount1,total_supply,price,tick
17000322,1763743133,5.10182750,82445.180051,319807261115,83355.38755567565,67260
17010322,0,4.89158005,100462.748551,319807261115,84624.40041746649,67411
17020322,0,4.79569349,108583.896632,319807261115,84766.40703063583,67428
17030322,0,4.91896348,98145.996458,319807261115,84583.91145325093,67406
17040322,0,5.03326697,88489.835017,319807261115,84158.65507861873,67356
17050322,0,5.02009291,89599.849452,319807261115,84356.57199358293,67379
17060322,0,5.04126858,87816.910411,319807261115,84038.7849810136,67342
17070322,0,5.05073171,87022.309706,319807261115,83897.35034716476,67325
17080322,0,5.02530633,89160.267681,319807261115,84278.16623334601,67370
17090322,0,5.01577818,89963.965592,319807261115,84421.54497221677,67387
17100322,0,4.97658513,93274.584935,319807261115,84498.80731553439,67396
17110322,0,4.80054527,108172.645819,319807261115,84759.21302621518,67427
17120322,0,4.37992464,143955.761642,319807261115,85386.3088920952,67501
17130322,0,3.93607058,182003.069854,319807261115,86055.61978064913,67579
17140322,0,4.42175500,140385.332284,319807261115,85323.633637762,67493
17150322,1763893133,4.06570241,170860.252480,319807261115,85859.32984919313,67556
17160322,0,3.79751029,193941.539476,319807261115,86266.17448100662,67603
17170322,0,3.59769699,211608.911271,319814800229,86574.44027095617,67639
17180322,0,3.64109315,207887.686710,319814800229,86632.08297271228,67645
17190322,0,3.45219341,224304.279847,319814800229,87181.55382104842,67709
17200322,0,3.72548192,200589.959870,319814800229,86238.30206815644,67600
17210322,0,3.43135956,226121.242293,319814800229,87242.47514625844,67716
17220322,0,3.39535642,229264.142300,319814800229,87347.90435312438,67728
17230322,0,3.60180013,211293.960137,319814800229,86745.9496791443,67659
17240322,0,3.74900186,198563.562999,319814800229,86074.87556351195,67581
17250322,0,3.75726693,197852.385308,319814800229,86017.55667048266,67574
17260322,0,3.44158382,225229.406057,319814800229,87212.5699181547,67712
17270322,0,3.02560299,261762.939181,319814800229,88441.81578070667,67852
17280322,0,2.97723940,266043.798834,319814800229,88586.41716859414,67869
17290322,0,3.22233925,244420.826879,319814800229,87857.2321887193,67786
17300322,1764043133,3.28778694,238677.099895,319814800229,87664.04476623001,67764
17310322,0,3.25091308,241911.616550,319814800229,87772.80998247323,67776
17320322,0,3.61318202,210306.815049,319814800229,86712.94317621454,67655
17330322,0,3.35430986,232851.944151,319814800229,87468.3357023901,67742
17340322,0,3.72482161,200646.905280,319814800229,86242.89688705282,67600
17350322,0,3.27001813,240235.250956,319814800229,87716.43139096607,67770
17360322,0,3.48839412,221150.159500,319814800229,87075.84916940417,67697
17370322,0,3.34104091,234012.815532,319814800229,87507.32030910143,67746
17380322,0,3.27441963,239849.195569,319814800229,87703.45035761842,67768
17390322,0,3.46348726,223319.851943,319814800229,87148.55561308046,67705
17400322,0,3.32704454,235237.888705,319814800229,87548.47037242347,67751
17410322,0,3.60224760,211255.143973,319814800229,86744.65169068548,67658
17420322,0,3.66666489,205673.300846,319814800229,86558.0994228066,67637
17430322,0,3.48625267,221336.634774,319814800229,87082.09676833606,67697
17440322,0,2.81714895,281121.080955,319814800229,89605.82936506931,67983
17450322,1764193133,2.78022663,284432.307592,319814800229,89756.01099464863,68000
17460322,0,2.75495827,286701.594937,319814800229,89859.00779066414,68011
17470322,0,2.43391486,315762.021777,319814800229,91183.20273086705,68157
17480322,0,2.52793802,307207.082895,319814800229,90792.37431616664,68115
17490322,0,2.49187095,310484.394200,319814800229,90941.997576551,68131
17500322,0,2.43059820,316064.469108,319814800229,91197.03525899217,68159
17510322,0,2.58054483,302436.511598,319814800229,90574.79752332997,68091
17520322,0,2.48703597,311036.828258,319814800229,90964.05977053149,68133
17530322,0,2.45105974,314313.877930,319814800229,91214.65293769003,68161
17540322,0,2.44336277,315016.160834,319814800229,91268.40075723373,68167
17550322,0,2.54398100,305863.629378,319814800229,90742.66271848026,68109
17560322,0,2.48773181,310973.534435,319814800229,90959.2231394732,68133
17570322,0,2.47379450,312241.937251,319814800229,91056.17334503845,68144
17580322,0,2.43448159,315827.007334,319814800229,91330.47696548789,68174
17590322,0,2.44612682,314763.917185,319814800229,91249.09397146972,68165
17600322,1764343133,2.33954597,324529.151850,319814800229,91998.01812278993,68246
17610322,0,2.64632706,296670.831427,319815024790,90378.68921878363,68069
17620322,0,2.49715631,310192.404890,319815024790,90911.98315002494,68128
17630322,0,2.53497708,306756.610266,319815024790,90776.32596328016,68113
17640322,0,2.54879451,305502.656686,319815024790,90726.84072014278,68107
17650322,0,2.56413264,304111.497259,319815024790,90671.95665775222,68101
17660322,0,2.63089344,298066.124984,319815024790,90433.64732546156,68075
17670322,0,2.62986802,298158.859720,319815024790,90437.3005721206,68075
17680322,0,2.59304619,301491.344440,319815024790,90568.63140288118,68090
17690322,0,2.51175484,308865.606611,319815024790,90859.58450937398,68122
17700322,0,2.59678856,301152.427065,319815024790,90555.27055974469,68088
17710322,0,2.53477768,306774.711621,319815024790,90777.04040261691,68113
17720322,0,2.54231888,306090.245734,319815024790,90750.0272885582,68110
17730322,0,2.60075584,300793.197092,319815024790,90541.11002675352,68087
17740322,0,2.58159203,302528.965558,319815024790,90609.54276018431,68094
17750322,1764493133,2.48229969,311543.622620,319815024790,90999.7343031757,68137
17760322,0,2.47865515,311875.320826,319815024790,91025.08825237924,68140
17770322,0,2.43741640,315635.008714,319815024790,91312.71362934163,68172
17780322,0,2.48272754,311504.689491,319815024790,90996.75861101976,68137
17790322,0,2.48306853,311473.660959,319815024790,90994.38710876953,68137
17800322,0,2.53343021,306897.034317,319815024790,90781.86841057164,68113
17810322,0,3.48899679,221754.539193,319815024790,87452.39786048417,67740
17820322,0,3.97019613,180061.114532,319815024790,85844.67694354268,67554
17830322,0,3.87411519,188324.388454,319815024790,86162.12811104178,67591
17840322,0,3.70031145,203349.897591,319815024790,86740.86610583308,67658
17850322,0,4.06882076,171610.708036,319815024790,85520.64261405295,67516
17860322,0,4.22749070,158082.269856,319815024790,85003.1646971272,67456
17870322,0,4.01126575,177092.785839,319815024790,85343.96363326383,67496
17880322,0,3.89521145,187010.742956,319815024790,85575.44312944895,67523
17890322,0,3.53097040,218313.979041,319815024790,86308.09913070666,67608
17900322,1764643133,3.38105051,231276.069853,319815024790,86612.39274330076,67643
17910322,0,3.27860768,240159.579987,319815024790,86821.24823903415,67667
17920322,0,3.36307124,232833.625852,319815024790,86648.99343333971,67647
17930322,0,3.12808575,253251.260044,319815024790,87129.49823139353,67703
17940322,0,3.05999100,259189.086556,319815024790,87269.4873116378,67719
17950322,0,1.67672370,381907.949848,319815024790,90187.8436994805,68048
17960322,0,1.41942574,405272.671215,319815024790,91702.2354197053,68214
17970322,0,1.43947267,403436.632765,319815024790,91471.92664681903,68189
17980322,0,1.44421252,403003.198372,319815024790,91417.59980345947,68183
17990322,0,1.35572213,411137.883614,319815024790,92439.89526554475,68294
18000322,0,1.26489119,419582.616497,319815024790,93507.16815835172,68409
18010322,0,1.34192535,412414.365417,319815024790,92600.82820150032,68312
18020322,0,1.32088692,414365.129918,319815024790,92847.04198501476,68338
18030322,0,1.30219513,416102.658601,319815024790,93066.6176694796,68362
18040322,0,1.35440736,411259.636166,319815024790,92477.16831547531,68298
18050322,1764793133,1.32456738,414024.873180,319815024790,92860.98665242073,68340
18060322,0,1.25640889,420384.249922,319815024790,93746.69198487976,68435
18070322,0,1.30136828,416182.642755,319815024790,93161.03986594215,68372
18080322,0,1.29105987,417143.673693,319815024790,93294.83383862108,68386
18090322,0,1.31651010,414773.499767,319815024790,92965.03367714141,68351
18100322,0,1.29480694,416794.182169,319815024790,93246.16679452278,68381
18110322,0,1.32111412,414345.623242,319815024790,92905.5586061356,68345
18120322,0,1.32272605,414195.883268,319815024790,92884.74916325034,68342
18130322,0,1.36266105,410496.794451,319815024790,92371.42481956385,68287
18140322,0,1.36266408,410496.513840,319815024790,92371.38593300898,68287
18150322,0,1.42158927,405064.071452,319815024790,92120.31048108352,68260
18160322,0,1.34986652,411679.691823,319815024790,92535.42136241304,68305
18170322,0,1.52909185,395172.121865,319815024790,91911.66966100247,68237
18180322,0,1.46678895,400902.248336,319815024790,92032.50055956589,68250
18190322,0,1.79917572,370418.727646,319815024790,91390.60807446156,68180
18200322,1764943133,2.21804172,332306.092976,319815024790,90591.22903967962,68092
18210322,0,3.03888544,258578.125699,319815024790,89054.81620343919,67921
18220322,0,2.99454256,262544.638684,319815024790,89445.30537109716,67965
18230322,0,3.06283334,256447.715185,319815024790,89112.75122033882,67928
18240322,0,3.00905362,261247.206644,319815024790,89374.48560437102,67957
18250322,0,2.95238981,266319.347776,319815024790,89651.50573712875,67988
18260322,0,2.94822360,266692.897347,319815024790,89671.92447297178,67990
18270322,0,2.99641781,262376.915563,319815024790,89436.14869851884,67964
18280322,0,2.96110606,265538.108844,319815024790,89608.80965328775,67983
18290322,0,2.87329509,273425.669491,319815024790,90040.34569950042,68031
18300322,0,2.94498365,266983.456427,319815024790,89687.80844141453,67992
18310322,0,2.99900306,262145.716871,319815024790,89423.52741035564,67963
18320322,0,3.04908405,257673.410663,319815024790,89179.55652813199,67935
18330322,0,3.01554940,260666.751944,319815024790,89342.8108166412,67954
18340322,0,2.97708505,264106.875280,319815024790,89530.61659821116,67975
18350322,1765093133,3.01786298,260460.063710,319815024790,89331.53341768192,67952
