block,sqrtPriceX96,tick,price
19208958,,67649,86658.90
19210958,,67652,86689.93
19212958,,67644,86621.20
19214958,,67676,86894.57
19216958,,67644,86618.18
19218958,,67609,86319.90
19220958,,67603,86264.99
19222958,,67599,86226.79
19224958,,67650,86673.18
19226958,,67633,86528.50
19228958,,67661,86767.82
19230958,,67687,86992.34
19232958,,67662,86775.92
19234958,,67677,86907.53
19236958,,67730,87366.07
19238958,,67753,87571.97
19240958,,67915,88999.11
19242958,,67941,89226.75
19244958,,67734,87404.95
19246958,,67603,86263.60
19248958,,67648,86653.25
19250958,,67603,86263.21
19252958,,67629,86486.22
19254958,,67544,85761.00
19256958,,67535,85681.18
19258958,,67563,85922.89
19260958,,67558,85877.32
19262958,,67554,85846.25
19264958,,67543,85752.98
19266958,,67569,85973.23
19268958,,67578,86054.07
19270958,,67571,85989.14
19272958,,67571,85989.12
19274958,,67585,86109.52
19276958,,67585,86109.52
19278958,,67564,85930.21
19280958,,67585,86110.80
19282958,,67633,86520.15
19284958,,67624,86448.91
19286958,,67613,86351.80
19288958,,67642,86604.33
19290958,,67649,86661.03
19292958,,67632,86516.32
19294958,,67616,86373.21
19296958,,67618,86392.20
19298958,,67638,86571.58
19300958,,67647,86646.32
19302958,,67647,86646.98
19304958,,67677,86909.43
19306958,,67662,86774.99
19308958,,67700,87106.56
19310958,,67708,87176.47
19312958,,67704,87139.09
19314958,,67699,87097.44
19316958,,67704,87139.90
19318958,,67710,87190.35
19320958,,67765,87671.06
19322958,,67879,88683.33
19324958,,67851,88433.27
19326958,,67834,88279.96
19328958,,67845,88378.62
19330958,,67826,88209.10
19332958,,67799,87968.39
19334958,,67656,86727.88
19336958,,67613,86351.48
19338958,,67631,86503.88
19340958,,67598,86224.08
19342958,,67528,85618.13
19344958,,67446,84920.75
19346958,,67451,84962.41
19348958,,67472,85146.33
19350958,,67533,85666.72
19352958,,67522,85566.16
19354958,,67516,85516.16
19356958,,67516,85521.14
19358958,,67500,85379.59
19360958,,67512,85486.25
19362958,,67515,85507.93
19364958,,67498,85364.87
19366958,,67494,85326.60
19368958,,67510,85470.99
19370958,,67599,86234.51
19372958,,67693,87048.04
19374958,,67711,87204.68
19376958,,67685,86977.14
19378958,,67666,86809.67
19380958,,67694,87054.80
19382958,,67679,86924.71
19384958,,67748,87527.64
19386958,,67772,87738.96
19388958,,67797,87950.81
19390958,,67776,87770.90
19392958,,67778,87792.00
19394958,,67781,87817.87
19396958,,67792,87909.78
19398958,,67798,87965.19
19400958,,67802,87996.83
19402958,,67794,87925.75
19404958,,67790,87890.16
19406958,,67784,87843.20
19408958,,67795,87937.35
19410958,,67802,88001.86
19412958,,67810,88073.08
19414958,,67808,88054.34
19416958,,67770,87715.06
19418958,,67824,88193.67
19420958,,67783,87836.07
19422958,,67693,87041.63
19424958,,67682,86948.78
19426958,,67679,86920.01
19428958,,67710,87189.14
19430958,,67785,87850.30
19432958,,67799,87976.28
19434958,,67800,87977.60
19436958,,67789,87881.41
19438958,,67775,87758.23
19440958,,67808,88052.88
19442958,,67812,88088.65
19444958,,67809,88064.82
19446958,,67799,87969.91
19448958,,67799,87969.91
19450958,,67796,87944.17
19452958,,67796,87944.17
19454958,,67796,87944.16
19456958,,67807,88047.27
19458958,,67807,88047.27
19460958,,67805,88025.50
19462958,,67807,88044.61
19464958,,67807,88044.61
19466958,,67828,88227.10
19468958,,67819,88148.82
19470958,,67819,88147.13
19472958,,67815,88113.48
19474958,,67817,88133.06
19476958,,67819,88147.98
19478958,,67817,88132.73
19480958,,67817,88132.62
19482958,,67815,88112.66
19484958,,67810,88066.94
19486958,,67810,88066.94
19488958,,67812,88087.27
19490958,,67814,88102.19
19492958,,67815,88117.84
19494958,,67792,87908.93
19496958,,67797,87954.19
19498958,,67804,88013.85
19500958,,67807,88047.12
19502958,,67797,87955.11
19504958,,67801,87991.15
19506958,,67802,87996.88
19508958,,67801,87994.17
19510958,,67801,87988.86
19512958,,67801,87988.86
19514958,,67812,88086.65
19516958,,67813,88093.92
19518958,,67813,88091.68
19520958,,67813,88094.65
19522958,,67822,88175.85
19524958,,67818,88141.35
19526958,,67812,88083.79
19528958,,67818,88143.00
19530958,,67818,88143.01
19532958,,67820,88160.74
19534958,,67821,88163.66
19536958,,67821,88163.66
19538958,,67799,87971.47
19540958,,67788,87880.15
19542958,,67782,87819.35
19544958,,67794,87928.26
19546958,,67794,87928.26
19548958,,67794,87927.74
19550958,,67794,87927.90
19552958,,67794,87927.90
19554958,,67794,87927.90
19556958,,67796,87943.94
19558958,,67794,87925.20
19560958,,67794,87925.20
19562958,,67801,87993.43
19564958,,67852,88442.08
19566958,,67858,88493.27
19568958,,67875,88646.02
19570958,,67860,88509.16
19572958,,67858,88491.74
19574958,,67858,88491.74
19576958,,67864,88548.48
19578958,,67853,88446.07
19580958,,67812,88089.99
19582958,,67757,87602.19
19584958,,67775,87761.95
19586958,,67776,87772.51
19588958,,67778,87788.19
19590958,,67790,87894.19
19592958,,67808,88048.87
19594958,,67825,88203.79
19596958,,67821,88168.36
19598958,,67787,87867.61
19600958,,67833,88272.22
19602958,,67817,88130.79
19604958,,67839,88322.11
19606958,,67825,88202.74
19608958,,67817,88127.43
19610958,,67811,88081.30
19612958,,67822,88176.97
19614958,,67825,88199.03
19616958,,67847,88397.26
19618958,,67863,88539.55
19620958,,67885,88729.50
19622958,,67877,88663.80
19624958,,67909,88948.82
19626958,,67804,88012.52
19628958,,67833,88268.41
19630958,,67854,88462.06
19632958,,67864,88542.20
19634958,,67882,88708.68
19636958,,67884,88720.36
19638958,,67877,88662.08
19640958,,67879,88676.77
19642958,,67878,88666.86
19644958,,67901,88872.66
19646958,,67901,88872.66
19648958,,67958,89381.83
19650958,,67934,89164.85
19652958,,67949,89302.19
19654958,,67969,89477.99
19656958,,67967,89466.16
19658958,,67967,89466.16
19660958,,67963,89424.65
19662958,,67988,89648.46
19664958,,68002,89777.03
19666958,,67997,89731.31
19668958,,67977,89550.19
19670958,,67995,89715.64
19672958,,67992,89688.27
19674958,,67935,89174.22
19676958,,67978,89561.46
19678958,,67966,89450.57
19680958,,67915,89001.52
19682958,,67920,89040.90
19684958,,67924,89077.19
19686958,,67927,89108.19
19688958,,67851,88433.12
19690958,,67793,87916.30
19692958,,67796,87949.70
19694958,,67828,88224.74
19696958,,67838,88313.25
19698958,,67816,88122.26
19700958,,67834,88277.41
19702958,,67851,88429.86
19704958,,67840,88331.50
19706958,,67856,88471.17
19708958,,67868,88580.56
19710958,,67846,88384.09
19712958,,67842,88354.01
19714958,,67821,88168.81
19716958,,67803,88006.75
19718958,,67808,88051.66
19720958,,67812,88089.03
19722958,,67793,87920.61
19724958,,67779,87797.46
19726958,,67753,87566.95
19728958,,67704,87140.83
19730958,,67731,87373.66
19732958,,67738,87433.53
19734958,,67738,87435.32
19736958,,67738,87435.35
19738958,,67727,87342.73
19740958,,67727,87340.02
19742958,,67744,87488.02
19744958,,67741,87463.80
19746958,,67763,87657.30
19748958,,67764,87668.18
19750958,,67763,87659.94
19752958,,67761,87636.66
19754958,,67750,87538.55
19756958,,67755,87587.35
19758958,,67674,86877.65
19760958,,67705,87149.65
19762958,,67727,87342.86
19764958,,67761,87635.09
19766958,,67806,88032.50
19768958,,67752,87558.44
19770958,,67737,87428.25
19772958,,67784,87836.65
19774958,,67778,87792.00
19776958,,67760,87632.24
19778958,,67762,87648.08
19780958,,67758,87615.30
19782958,,67763,87653.54
19784958,,67763,87659.80
19786958,,67736,87421.10
19788958,,67714,87228.58
19790958,,67729,87362.81
19792958,,67727,87340.14
19794958,,67743,87485.03
19796958,,67756,87595.01
19798958,,67746,87505.86
19800958,,67717,87255.31
19802958,,67692,87037.85
