block,tx_hash,log_index,event,sender,owner,tickLower,tickUpper,liquidity,amount0,amount1
19227670,0xc55c40165a1c069210af63b08156310660f7e9cf24ddf736572a2dce36c36f8c,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67640,67650,5773648181,0,84960622
19229469,0xb9b845bb65be09a0d3fb50f88a5fbec6e7ac4a77b4da1add5cc0b568b680ea52,10,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67650,67660,5770762087,0,84960620
19229868,0x8a93573a82ee2aadd6d291af8e10feee3fda2501595122325c3d2cc983aab77b,11,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,66540,69180,31721695,77961,51623004
19230285,0x6289b96ece685c1063cd86fee2de9112bd3c51de4b5ca58d0aaaacfa637c1466,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63880,68880,162425435664,319992941,829338907077
19231272,0x3e5195da9b040d1d66f68111ab570a7a3a4b7c22bc8e4b5a5a503e7fd05091f3,20,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67670,67680,5764994362,0,84960618
19234275,0x8520663e9caf8ef3b868d046b90fe2c2221b6788f619deb8e34232dc5fe68de3,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63880,68880,162425952776,319993790,829341694651
19236671,0x83c239f55ee060625be016ce2af44ba67e06b173e4f4aa53583e321e9a4b6b5e,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67710,67720,5756066667,0,84998867
19236859,0xcda0814c0a551b15dce1f4fc590043aaa6fac02e093b0b75cb52389db275c80b,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67710,67720,17945623521,0,265000000
19237218,0x7b6f7e2c1ac11289662dfa7c7f044a174512abb1ba5129c52e977757f2c10935,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67730,67740,23678001394,0,349998865
19238029,0x978d0f5a98ad1001dfee85595bac7f68515c78c14357fe7ff52ec86d2b7f0cad,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63880,68880,162398793908,302644893,844289319052
19239013,0x9418b61f104748ba58ab2a309762e6b301e500805fc955d531eebca6b9f82140,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67740,67750,23668360617,0,350031322
19240822,0x63d7c2ff70e06ebd24654a35af59260fd4b86b2420b4d2726a44e83f3c765da1,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67900,67910,23486983660,0,350138735
19241710,0xdde3951398d27f8af6047ab9db16941c8fbccbe21cd6683d1f1adf25e7c3c5f5,20,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67970,67980,23404926869,0,350138733
19241777,0xcc2638ace3a174742adad259409c9fd52921a16839449aa61044f3aae83cdb8e,12,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63860,68860,161656001136,226870861,905716308860
19245309,0x1c7338fd00662b73dfaba7d0feeb020bb57c92a73234ec4acb49ef3280dfac42,31,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67670,67680,23067463713,391271,0
19245765,0x184cd354074c4989fd914dd7c33c24781e8ed3bc7b498695c497318526240631,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63890,68890,163035597087,344888071,812197662536
19246057,0x61918d98c51c928429076b00871427b1e8094dd431252c1c737795ef6be51122,12,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,66540,69180,31776759,81243,48986376
19246214,0xe14bc0a3280560472505b05c39a6fe6b29cb4532db71f75504a0cbfaae200604,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,22998250914,391269,0
19248021,0xefca9a8c9d93dc8fb0032eecccec7e360c9dd813fb01682c5dc72fd8031fd85e,15,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67650,67660,22969178445,0,338166019
19248908,0x4c0a70944e2b589bbd56e3d6bafdb96ccfaa6be0fa4d91001cd2d03e554c040d,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67640,67650,22962779767,390080,0
19249195,0x479872e6c23280549358a71e047af59b604f2f4a385e739e941437a592fdc40c,25,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162606266205,332308658,820417724876
19249813,0xb2d830d06b57aaf05d7c8293a5a256bc492aa42b1f394168bfa2da94ca268d75,24,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67650,67660,22960923585,0,338044486
19250710,0x9339996cb220511a26852c62dc4998714722b5d4710dd9982663be4467e98dcb,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,22920251688,389942,0
19253179,0xcb8f745a495422926615c160eded708ec6b0b9462840a986cf8799d9b7aba5b1,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162621254764,340407710,813504991045
19254310,0x523debf6ce8d5cb08f7a101633b0c92cdd13be60f61e7da392cf46842ae5ef0c,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67570,67580,22886132857,390141,0
19255225,0x84a9606563414494b6d1fd29b8d5ebdc4bbc097931e5fe860b88ae78f2df3394,22,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,22863142102,390139,0
19256110,0xcbf98ef0b41a4bfafdf9dcf9b0197cb6426803d8c4b9a1c48d69f765709e7b6a,19,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67520,67530,22828757779,390137,0
19256825,0xfb9399a30152b2484082b13d98d182d26b08907048e0661df60ec2c63f0bb980,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163085803965,368057933,793105190998
19258825,0x27a9a92227b07ffb185b7a357d5d98f843c433a344d00affc61a5df768688d91,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,22809935948,0,334146722
19259710,0x3484eaf582d5b26bd425d53cc2b437cd2ad61f47d96dc9d3b51e10577486dd45,20,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67530,67540,22792226918,389318,0
19259746,0x7d8e38341c73cdba1969e18d2edb0e2f5e091a1fdd55955b3ab0f70a99b9066b,11,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,70320,72480,45490502,138414,0
19260614,0x3b9a5f160f9b6d3099fd9b29d5d9d3642650080bbeb8c69f6a0c65be8ebaaa46,19,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67560,67570,22763188923,0,333628681
19260849,0x2d6ea6977f7d56b5fb819854dde682085978b6527bd17c177ea2557917f9fedd,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163079586815,363627822,796864360784
19262422,0xc5c879570056af281c287fba9ac3d25abb0c6838ef4e3154cf911f1eb8d3b458,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,22761935490,388412,0
19264640,0xd64bb250fb3a97b01eb6caff8dc50a7c0958074b560cb89f46c235671b51eec1,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163090477267,369634859,791785263222
19267814,0xa4b6751a045c9d9c454d0c24f0c414dc813c9e178721f0edf4892eb6d557de47,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67570,67580,22746765539,0,333554699
19268380,0xa8dda79c95ea9480021efa81013bf022b84b54b301ef2b9d0330b7581c3e4fa9,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068865737,356720457,802730626165
19272104,0xb1ac29dd2b63bd81b906c8c6a1d0d017c65da066e5da16b5cbe38061fbd301ec,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163078152630,361952516,798293746048
19273318,0x2453f8c5c2f9acad03bffb405f19f1a022ffc42839811fcecc97136a3e18a5a1,7,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068211695,356093516,803265969626
19276926,0xa6edfdd2feecf60529342da1c06e000f691f4d1b48be73181e442402974ee3f8,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068382399,356095250,803265638144
19277709,0x62183d4bce2db6db2c4ed980733722d36de2a3668740f02176aef1ded4a854cb,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67560,67570,22747696610,387975,0
19278640,0x334f6259fb3c6776f8abf1b5b79ca4f4211903b68f4ea1bdb9f38e279fb710c7,11,Mint,0x5977767ef6324864f170318681eccb82315f8761,0x5977767ef6324864f170318681eccb82315f8761,66600,69060,34045056,83668,46987750
19281038,0x2eff4584b223a75df34059f58ca1fc9403641363611678525d0ed1bb95ba2f14,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163068818393,356055060,803303213960
19281307,0x5cce082d9477d27f199b870d252abdd52b753e25f36d5e43cf9f8258d45e55b7,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67600,67610,22707414750,0,333477482
19283110,0x65161fbedcd35a35a746eb32010057bfae26aba713a2f212874ab53c598e03a7,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,22686170243,0,333498804
19284837,0xe45decba467646d45bca1034928825c4201b0ba415e34ace721f826c168e86ee,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162651368636,340599763,813544053202
19285814,0xb0381da901f2b20de2e2ea935221111ac3e6015d33cb2b2771f352633a9fba37,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,22683961645,385922,0
19288508,0x022bb6ee613bebfd0573ad62357092a963ff530124ecc2a603f315979106b881,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67630,67640,22666391413,0,333374682
19288620,0xf3f90a47bbd754f114121f8ad669630019386e6e30bc379f9e469881945f19e4,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162645443517,336721063,816860453070
19292619,0xad09b2f385d2c6f6ccb9914034c199e32a916e1447b7cd17f62b2290c3349bd6,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162650332332,339514625,814475639699
19294820,0x8bf1dc48dee9acb485711a0272932dfe9e305ea1bf530963c5381879b44a37e6,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67620,67630,22661785328,385352,0
19296383,0xe6f6dfb0e5765b1e2bf8578c8c295351dc85284dbf3cc7bfe3cec6e72c887783,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162657373879,343527235,811054519941
19299309,0xaa0e44ea4999f196a7ae8749412cae5bf441f6dd6348989f465654a01ccdc0fd,8,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67630,67640,22655556613,0,333215325
19300154,0xfa130e15de3442c5df3f203f15e4eb1f2013a7cf4d6a887ffc0728a396acf7fc,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162643750136,335378203,818012168249
19302020,0x2e9f1777dddff7ff146be834445e5623266097e0bb3bebd5f1d0a6dc31d872b0,11,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67640,67650,22644232096,0,333215323
19303816,0xc0c4ace4927ad2b1d6b7dc6adcbc25764c196c0ac7819c97d54cf1e599a3120f,21,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67650,67660,22634108205,0,333232914
19303932,0xf28bf9d62b864ea6474ac22ae1253105ac716270403289ac00d8269fe204045a,10,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162630685098,327473704,824781818471
19304710,0xfef30f32e048404b9c23f73ad92a853d2a375e9ba1da4e8950e4c439c5d41a82,20,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67660,67670,22622794410,0,333232912
19308023,0x49e1cd19bf321c850ff1432004b5a0907fccae3f49367ae6a4424f4f55e94a46,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162621876831,322032367,829454564973
19309221,0x2cf38c0cee98f359389749a01913097f8f828863e3b06e1c106ca9ac1ef8fcf5,12,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67690,67700,22592742944,0,333289790
19311834,0xc9cc72a6cd9d81aa95801efc4f1fd53bb33fe606df45e641adcb6fc2673eb259,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162616029124,318497436,832494308282
19316036,0x3fc5b648f72d5d204d6335bfc4ac441c4789d09112a95577cb157bfc11dc6c7c,7,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162620388065,321004085,830339844805
19319109,0x94073954fda1ada345b0f19ea154c4e835b78d673dfa25a4041ba3c810608cef,9,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67700,67710,22588597585,0,333395285
19319682,0xb1120ed25edc84e5789ada78c12d204b9c1149644ebb8a586a8f5ade1e49de0a,2,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162623397938,322560871,829004847453
19320909,0x94d0c7d6bfec75993112ff7a84a3b363a9ecb312f03a2a9c6ed8b975813d36ee,18,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67750,67760,22537271552,0,333470334
19321813,0x7b13d43ca5eb82a67a19bf273d7c46b70f364cb7a5a2113847af40a185cbae6d,19,Mint,0x2659c6085d26144117d904c46b48b6d180393d27,0x2659c6085d26144117d904c46b48b6d180393d27,67770,67780,22519310381,0,333537928
