block,tx_hash,log_index,event,owner,tickLower,tickUpper,liquidity,amount0,amount1
19241773,0xe76d42107abe6e87a0a0ee5853ae7b7e9ee273216b03823ee70c9baa182a9e61,3,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63880,68880,162398793908,232667981,906311096776
19245309,0x1c7338fd00662b73dfaba7d0feeb020bb57c92a73234ec4acb49ef3280dfac42,22,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67970,67980,23404926869,391084,0
19245761,0x91cef476d0fcebdce443729849e3ed13326bbfd336f5b2684ed82f4fc13168ea,11,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63860,68860,161656001136,334222633,811235345596
19246057,0x61918d98c51c928429076b00871427b1e8094dd431252c1c737795ef6be51122,1,Burn,0x5977767ef6324864f170318681eccb82315f8761,66540,69180,31721695,81102,48901477
19246214,0xe14bc0a3280560472505b05c39a6fe6b29cb4532db71f75504a0cbfaae200604,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67670,67680,23067463713,391270,0
19248021,0xefca9a8c9d93dc8fb0032eecccec7e360c9dd813fb01682c5dc72fd8031fd85e,6,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,22998250914,0,337917563
19248908,0x4c0a70944e2b589bbd56e3d6bafdb96ccfaa6be0fa4d91001cd2d03e554c040d,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67650,67660,22969178445,389993,0
19249045,0x03a59aee65fa6a7d298a78e8cb486d7ad8d556ca7200c6da6fabccd7c6c0ebe9,8,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63890,68890,163035597087,335301906,820484234919
19249813,0xb2d830d06b57aaf05d7c8293a5a256bc492aa42b1f394168bfa2da94ca268d75,15,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67640,67650,22962779767,0,337902828
19250710,0x9339996cb220511a26852c62dc4998714722b5d4710dd9982663be4467e98dcb,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67650,67660,22960923585,389853,0
19253175,0x7c2a856beecee152e8cbcccd52ae313974de53344b810e52477fb4cebd46589d,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162606266205,340376334,813430011500
19254310,0x523debf6ce8d5cb08f7a101633b0c92cdd13be60f61e7da392cf46842ae5ef0c,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67610,67620,22920251688,389941,0
19255225,0x84a9606563414494b6d1fd29b8d5ebdc4bbc097931e5fe860b88ae78f2df3394,14,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67570,67580,22886132857,390140,0
19256110,0xcbf98ef0b41a4bfafdf9dcf9b0197cb6426803d8c4b9a1c48d69f765709e7b6a,11,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,22863142102,390138,0
19256819,0xe7b4d2459abd9b9b1636b86656ea63ce4a31a67d5c1e2011e988bf5fac5156e9,8,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63900,68900,162621254764,364415656,792830920770
19258825,0x27a9a92227b07ffb185b7a357d5d98f843c433a344d00affc61a5df768688d91,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67520,67530,22828757779,0,333921213
19259710,0x3484eaf582d5b26bd425d53cc2b437cd2ad61f47d96dc9d3b51e10577486dd45,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67550,67560,22809935948,389231,0
19259746,0x7d8e38341c73cdba1969e18d2edb0e2f5e091a1fdd55955b3ab0f70a99b9066b,1,Burn,0x5977767ef6324864f170318681eccb82315f8761,66540,69180,31776759,85994,44899842
19260614,0x3b9a5f160f9b6d3099fd9b29d5d9d3642650080bbeb8c69f6a0c65be8ebaaa46,11,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67530,67540,22792226918,0,333553595
19260845,0x9c6800f68ae4d8346e3587079dadc4c5b18f0632f2be2131076790582ef0aafd,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163085803965,363641683,796894739970
19262422,0xc5c879570056af281c287fba9ac3d25abb0c6838ef4e3154cf911f1eb8d3b458,12,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,67560,67570,22763188923,388239,0
19264636,0x19f36548e8dd3775a37b6cb008d06e9d77b8085595453ea32259631842fde19d,0,Burn,0x2659c6085d26144117d904c46b48b6d180393d27,63910,68910,163079586815,369610176,791732391345
19266837,0x17e34960918f11e96466b0140169ce9b61191a0d240c4b40345dec3bd960fddf,1,Burn,0xbc2ae38ce7127854b08ec5956f8a31547f6390ff,-887270,887270,130934,4465,3839140
19266837,0x17e34960918f11e96466b0140169ce9b61191a0d240c4b40345dec3bd960fddf,6,Burn,0xbc2ae38ce7127854b08ec5956f8a31547f6390ff,65920,69530,13690170,43592,31778116
19266837,0x17e34960918f11e96466b0140169ce9b61191a0d240c4b40345dec3bd960fddf,11,Burn,0xbc2ae38ce7127854b08ec5956f8a31547f6390ff,67730,68510,12149718,15721,0
