block,amount0,amount1,totalSupply,price,share_price_usd,vault_value_usd
19998958,63717,64893952,59815574,88553.38,2.0281926888e-06,121.32
20008958,68497,60659045,59815574,88507.75,2.0276357919e-06,121.28
20018958,90955,40954345,59815574,86982.23,2.0073205745e-06,120.07
20028958,87821,43683403,59815574,87192.72,2.0104617198e-06,120.26
20038958,84159,46880890,59815574,87439.66,2.0140112062e-06,120.47
20048958,66534,62318426,59815574,87309.48,2.0130027475e-06,120.41
20058958,68083,60965318,59815574,87267.68,2.0125155791e-06,120.38
20068958,66474,62367985,59815574,87405.81,2.0140259924e-06,120.47
20078958,68399,60680487,59815574,87484.17,2.0148395461e-06,120.52
20088958,69137,60030022,59815574,87437.76,2.0142223761e-06,120.48
20098958,67154,61756550,59815574,87373.38,2.0133764455e-06,120.43
20108958,65737,62986317,59815574,87444.10,2.0140146588e-06,120.47
20118958,65290,63375190,59815574,87424.53,2.0137676138e-06,120.45
20128958,64998,63625598,59815574,87502.01,2.0145281026e-06,120.50
20138958,66357,62436326,59815574,87695.80,2.0166759245e-06,120.63
20148958,65635,63068939,59815574,87718.41,2.0169148181e-06,120.64
20158958,67119,61758625,59815574,87595.51,2.0153924472e-06,120.55
20168958,64705,63873341,59815574,87795.03,2.0175534216e-06,120.68
20178958,64538,64020248,59815574,87808.85,2.0177073421e-06,120.69
20188958,67012,61845590,59815574,87851.93,2.0181520771e-06,120.72
20198958,63616,64821735,59815574,87728.53,2.0167175386e-06,120.63
20208958,65623,63054885,59815574,87501.06,2.0141193290e-06,120.48
20218958,67933,61029938,59815574,87499.71,2.0140425865e-06,120.47
20228958,65949,62770753,59815574,87885.83,2.0183803174e-06,120.73
20238958,58925,68973625,59815574,89700.89,2.0367583797e-06,121.83
20248958,68525,60348782,59815574,89538.90,2.0346760456e-06,121.71
20258958,79995,50205344,59815574,87888.92,2.0147275616e-06,120.51
20268958,74233,55288294,59815574,87261.43,2.0072543318e-06,120.07
20278958,66219,62290507,59815574,87403.35,2.0089772660e-06,120.17
20288958,63290,64856417,59815574,87646.35,2.0116464864e-06,120.33
20298958,73256,56140482,59815574,87110.73,2.0054028037e-06,119.95
20308958,66951,61637258,59815574,87161.83,2.0060490042e-06,119.99
20318958,69093,59768058,59815574,87175.51,2.0061704113e-06,120.00
20328958,67606,61047445,59815574,87292.46,2.0072094971e-06,120.06
20338958,65302,63050912,59815574,87490.66,2.0092436133e-06,120.18
20348958,64932,63373194,59815574,87976.85,2.0144974296e-06,120.50
20358958,66342,62132676,59815574,87891.88,2.0135543331e-06,120.44
20368958,64679,63568636,59815574,88945.16,2.0245141041e-06,121.10
20378958,77368,52343539,59815574,87937.02,2.0124967924e-06,120.38
20388958,64345,63804181,59815574,88078.70,2.0141647070e-06,120.48
20398958,65322,62939058,59815574,88088.43,2.0141941497e-06,120.48
20408958,67481,61028200,59815574,88276.90,2.0161695325e-06,120.60
20418958,65654,62636507,59815574,88187.94,2.0151176625e-06,120.54
20428958,66073,62267413,59815574,88156.02,2.0147719956e-06,120.51
20438958,60093,67552985,59815574,88613.67,2.0196010427e-06,120.80
20448958,62171,65713279,59815574,88454.24,2.0179722328e-06,120.71
20458958,74853,54556267,59815574,87490.49,2.0069276115e-06,120.05
20468958,76427,53180055,59815574,87371.98,2.0054282185e-06,119.96
20478958,74234,55098706,59815574,87537.23,2.0075221966e-06,120.08
20488958,71808,57223960,59815574,87720.45,2.0097485284e-06,120.21
20498958,74920,54497684,59815574,87485.45,2.0068649983e-06,120.04
20508958,74281,55057574,59815574,87533.68,2.0074783585e-06,120.08
20518958,71301,57668938,59815574,87758.84,2.0102100379e-06,120.24
20528958,70498,58374228,59815574,87819.70,2.0109371357e-06,120.29
20538958,70568,58312491,59815574,87814.37,2.0108698753e-06,120.28
20548958,67478,61029316,59815574,88049.00,2.0135729004e-06,120.44
20558958,66419,61962721,59815574,88129.68,2.0144849423e-06,120.50
20568958,61430,66368569,59815574,88511.01,2.0185526316e-06,120.74
20578958,65200,63037747,59815574,88222.65,2.0155104473e-06,120.56
20588958,62959,65016067,59815574,88393.86,2.0173334797e-06,120.67
20598958,58801,68698137,59815574,88712.97,2.0205816730e-06,120.86
20608958,52617,74199435,59815574,89190.82,2.0250406380e-06,121.13
20618958,54316,72684990,59815574,89059.15,2.0238601309e-06,121.06
20628958,45119,80908605,59815574,89775.32,2.0298113420e-06,121.41
20638958,46038,80084104,59815574,89703.38,2.0292666295e-06,121.38
20648958,43374,82476610,59815574,89912.20,2.0308277251e-06,121.48
20658958,44004,81909887,59815574,89862.71,2.0304590731e-06,121.45
